phase(VF("/net152")) X,phase(VF("/net152")) Y
100,-90.60892897641509
144.5439770745927,-90.87974112163006
208.9296130854039,-91.27123198750724
301.9951720402015,-91.83697379489594
436.5158322401658,-92.65411872755747
630.9573444801929,-93.8333081440452
912.0108393559092,-95.53182221457089
1318.256738556406,-97.96914065434513
1905.460717963246,-101.4396304198482
2754.228703338164,-106.3047815888265
3981.07170553497,-112.9217734694134
5754.399373371565,-121.4415677565404
8317.637711026704,-131.4852343288007
12022.64434617412,-141.9957114928608
17378.00828749374,-151.6666837133752
25118.86431509578,-159.645197598643
36307.8054770101,-165.7627489713514
52480.74602497721,-170.2798442064059
75857.75750291831,-173.5877622457308
109647.8196143184,-176.0565862452741
158489.3192461112,-177.9928161086764
229086.765276777,-179.6425627045417
331131.1214825907,-181.2059141559068
478630.0923226377,-182.8543967078588
691830.9709189356,-184.7642788430127
999999.9999999987,-187.1720259424432
1445439.770745926,-190.4118678961192
2089296.130854037,-194.9017637757414
3019951.720402012,-201.0866614645141
4365158.322401654,-209.3017463705148
6309573.444801924,-219.4983805991098
9120108.393559085,-230.9802348324579
13182567.38556405,-242.5828109494344
19054607.17963244,-253.3592530777376
27542287.03338162,-263.0571994139644
39810717.05534966,-271.9870303446046
57543993.7337156,-280.671719935528
83176377.11026697,-289.6837703906475
120226443.4617411,-299.6258663892976
173780082.8749372,-310.8776031936706
251188643.1509576,-323.1962783853072
363078054.7701007,-336.0819466454165
524807460.2497716,-349.7547326611777
758577575.0291823,-364.6208914155287
1096478196.143183,-380.1855933646651
1584893192.46111,-395.2405659948349
2290867652.767768,-408.4483659774473
3311311214.825903,-418.907559561802
4786300923.226373,-426.3993046494499
6918309709.189349,-431.1606630700303
10000000000,-433.5339015562288
