Freq.	V(out_fs)
1.00000000000000e+00	(-1.27836053291705e+02dB,9.00048283047375e+01°)
1.00230523807790e+00	(-1.27816053291529e+02dB,9.00048394351293e+01°)
1.00461579027839e+00	(-1.27796053291352e+02dB,9.00048505911794e+01°)
1.00693166885180e+00	(-1.27776053291174e+02dB,9.00048617729468e+01°)
1.00925288607668e+00	(-1.27756053290995e+02dB,9.00048729804909e+01°)
1.01157945425990e+00	(-1.27736053290816e+02dB,9.00048842138710e+01°)
1.01391138573668e+00	(-1.27716053290636e+02dB,9.00048954731467e+01°)
1.01624869287070e+00	(-1.27696053290455e+02dB,9.00049067583777e+01°)
1.01859138805412e+00	(-1.27676053290273e+02dB,9.00049180696239e+01°)
1.02093948370768e+00	(-1.27656053290090e+02dB,9.00049294069452e+01°)
1.02329299228075e+00	(-1.27636053289907e+02dB,9.00049407704017e+01°)
1.02565192625141e+00	(-1.27616053289722e+02dB,9.00049521600537e+01°)
1.02801629812647e+00	(-1.27596053289537e+02dB,9.00049635759615e+01°)
1.03038612044162e+00	(-1.27576053289351e+02dB,9.00049750181857e+01°)
1.03276140576140e+00	(-1.27556053289164e+02dB,9.00049864867870e+01°)
1.03514216667934e+00	(-1.27536053288976e+02dB,9.00049979818262e+01°)
1.03752841581801e+00	(-1.27516053288788e+02dB,9.00050095033641e+01°)
1.03992016582906e+00	(-1.27496053288598e+02dB,9.00050210514619e+01°)
1.04231742939330e+00	(-1.27476053288408e+02dB,9.00050326261809e+01°)
1.04472021922080e+00	(-1.27456053288216e+02dB,9.00050442275823e+01°)
1.04712854805090e+00	(-1.27436053288024e+02dB,9.00050558557277e+01°)
1.04954242865232e+00	(-1.27416053287831e+02dB,9.00050675106788e+01°)
1.05196187382322e+00	(-1.27396053287637e+02dB,9.00050791924972e+01°)
1.05438689639126e+00	(-1.27376053287442e+02dB,9.00050909012451e+01°)
1.05681750921366e+00	(-1.27356053287247e+02dB,9.00051026369844e+01°)
1.05925372517729e+00	(-1.27336053287050e+02dB,9.00051143997774e+01°)
1.06169555719872e+00	(-1.27316053286852e+02dB,9.00051261896864e+01°)
1.06414301822431e+00	(-1.27296053286654e+02dB,9.00051380067740e+01°)
1.06659612123026e+00	(-1.27276053286454e+02dB,9.00051498511028e+01°)
1.06905487922266e+00	(-1.27256053286254e+02dB,9.00051617227356e+01°)
1.07151930523761e+00	(-1.27236053286053e+02dB,9.00051736217352e+01°)
1.07398941234124e+00	(-1.27216053285851e+02dB,9.00051855481650e+01°)
1.07646521362983e+00	(-1.27196053285648e+02dB,9.00051975020880e+01°)
1.07894672222983e+00	(-1.27176053285444e+02dB,9.00052094835676e+01°)
1.08143395129794e+00	(-1.27156053285239e+02dB,9.00052214926674e+01°)
1.08392691402120e+00	(-1.27136053285033e+02dB,9.00052335294510e+01°)
1.08642562361706e+00	(-1.27116053284826e+02dB,9.00052455939823e+01°)
1.08893009333343e+00	(-1.27096053284618e+02dB,9.00052576863252e+01°)
1.09144033644876e+00	(-1.27076053284409e+02dB,9.00052698065438e+01°)
1.09395636627209e+00	(-1.27056053284199e+02dB,9.00052819547024e+01°)
1.09647819614318e+00	(-1.27036053283989e+02dB,9.00052941308654e+01°)
1.09900583943252e+00	(-1.27016053283777e+02dB,9.00053063350974e+01°)
1.10153930954141e+00	(-1.26996053283564e+02dB,9.00053185674630e+01°)
1.10407861990207e+00	(-1.26976053283351e+02dB,9.00053308280272e+01°)
1.10662378397766e+00	(-1.26956053283136e+02dB,9.00053431168548e+01°)
1.10917481526240e+00	(-1.26936053282920e+02dB,9.00053554340112e+01°)
1.11173172728159e+00	(-1.26916053282704e+02dB,9.00053677795615e+01°)
1.11429453359173e+00	(-1.26896053282486e+02dB,9.00053801535712e+01°)
1.11686324778056e+00	(-1.26876053282267e+02dB,9.00053925561060e+01°)
1.11943788346715e+00	(-1.26856053282048e+02dB,9.00054049872315e+01°)
1.12201845430196e+00	(-1.26836053281827e+02dB,9.00054174470138e+01°)
1.12460497396692e+00	(-1.26816053281605e+02dB,9.00054299355188e+01°)
1.12719745617551e+00	(-1.26796053281383e+02dB,9.00054424528129e+01°)
1.12979591467280e+00	(-1.26776053281159e+02dB,9.00054549989622e+01°)
1.13240036323556e+00	(-1.26756053280934e+02dB,9.00054675740334e+01°)
1.13501081567231e+00	(-1.26736053280708e+02dB,9.00054801780932e+01°)
1.13762728582343e+00	(-1.26716053280482e+02dB,9.00054928112083e+01°)
1.14024978756117e+00	(-1.26696053280254e+02dB,9.00055054734457e+01°)
1.14287833478977e+00	(-1.26676053280025e+02dB,9.00055181648726e+01°)
1.14551294144553e+00	(-1.26656053279795e+02dB,9.00055308855563e+01°)
1.14815362149688e+00	(-1.26636053279564e+02dB,9.00055436355642e+01°)
1.15080038894443e+00	(-1.26616053279332e+02dB,9.00055564149639e+01°)
1.15345325782109e+00	(-1.26596053279098e+02dB,9.00055692238231e+01°)
1.15611224219210e+00	(-1.26576053278864e+02dB,9.00055820622098e+01°)
1.15877735615512e+00	(-1.26556053278629e+02dB,9.00055949301921e+01°)
1.16144861384034e+00	(-1.26536053278392e+02dB,9.00056078278381e+01°)
1.16412602941049e+00	(-1.26516053278155e+02dB,9.00056207552162e+01°)
1.16680961706096e+00	(-1.26496053277916e+02dB,9.00056337123951e+01°)
1.16949939101987e+00	(-1.26476053277676e+02dB,9.00056466994433e+01°)
1.17219536554813e+00	(-1.26456053277436e+02dB,9.00056597164297e+01°)
