Freq.	V(out_fs)
1.00000000000000e+00	(-1.27857077916641e+02dB,9.00048240958808e+01°)
1.00230523807790e+00	(-1.27837077916465e+02dB,9.00048352165702e+01°)
1.00461579027839e+00	(-1.27817077916288e+02dB,9.00048463628955e+01°)
1.00693166885180e+00	(-1.27797077916111e+02dB,9.00048575349157e+01°)
1.00925288607668e+00	(-1.27777077915932e+02dB,9.00048687326901e+01°)
1.01157945425990e+00	(-1.27757077915753e+02dB,9.00048799562780e+01°)
1.01391138573668e+00	(-1.27737077915573e+02dB,9.00048912057390e+01°)
1.01624869287070e+00	(-1.27717077915392e+02dB,9.00049024811326e+01°)
1.01859138805412e+00	(-1.27697077915210e+02dB,9.00049137825187e+01°)
1.02093948370768e+00	(-1.27677077915027e+02dB,9.00049251099572e+01°)
1.02329299228075e+00	(-1.27657077914844e+02dB,9.00049364635081e+01°)
1.02565192625141e+00	(-1.27637077914659e+02dB,9.00049478432317e+01°)
1.02801629812647e+00	(-1.27617077914474e+02dB,9.00049592491882e+01°)
1.03038612044162e+00	(-1.27597077914288e+02dB,9.00049706814382e+01°)
1.03276140576140e+00	(-1.27577077914101e+02dB,9.00049821400423e+01°)
1.03514216667934e+00	(-1.27557077913913e+02dB,9.00049936250611e+01°)
1.03752841581801e+00	(-1.27537077913725e+02dB,9.00050051365557e+01°)
1.03992016582906e+00	(-1.27517077913535e+02dB,9.00050166745870e+01°)
1.04231742939330e+00	(-1.27497077913345e+02dB,9.00050282392162e+01°)
1.04472021922080e+00	(-1.27477077913153e+02dB,9.00050398305046e+01°)
1.04712854805090e+00	(-1.27457077912961e+02dB,9.00050514485137e+01°)
1.04954242865232e+00	(-1.27437077912768e+02dB,9.00050630933051e+01°)
1.05196187382322e+00	(-1.27417077912574e+02dB,9.00050747649405e+01°)
1.05438689639126e+00	(-1.27397077912379e+02dB,9.00050864634817e+01°)
1.05681750921366e+00	(-1.27377077912184e+02dB,9.00050981889910e+01°)
1.05925372517729e+00	(-1.27357077911987e+02dB,9.00051099415303e+01°)
1.06169555719872e+00	(-1.27337077911789e+02dB,9.00051217211620e+01°)
1.06414301822431e+00	(-1.27317077911591e+02dB,9.00051335279485e+01°)
1.06659612123026e+00	(-1.27297077911392e+02dB,9.00051453619525e+01°)
1.06905487922266e+00	(-1.27277077911191e+02dB,9.00051572232367e+01°)
1.07151930523761e+00	(-1.27257077910990e+02dB,9.00051691118640e+01°)
1.07398941234124e+00	(-1.27237077910788e+02dB,9.00051810278975e+01°)
1.07646521362983e+00	(-1.27217077910585e+02dB,9.00051929714001e+01°)
1.07894672222983e+00	(-1.27197077910381e+02dB,9.00052049424355e+01°)
1.08143395129794e+00	(-1.27177077910176e+02dB,9.00052169410669e+01°)
1.08392691402120e+00	(-1.27157077909970e+02dB,9.00052289673580e+01°)
1.08642562361706e+00	(-1.27137077909763e+02dB,9.00052410213725e+01°)
1.08893009333343e+00	(-1.27117077909555e+02dB,9.00052531031745e+01°)
1.09144033644876e+00	(-1.27097077909347e+02dB,9.00052652128279e+01°)
1.09395636627209e+00	(-1.27077077909137e+02dB,9.00052773503969e+01°)
1.09647819614318e+00	(-1.27057077908926e+02dB,9.00052895159458e+01°)
1.09900583943252e+00	(-1.27037077908714e+02dB,9.00053017095393e+01°)
1.10153930954141e+00	(-1.27017077908502e+02dB,9.00053139312419e+01°)
1.10407861990207e+00	(-1.26997077908288e+02dB,9.00053261811185e+01°)
1.10662378397766e+00	(-1.26977077908073e+02dB,9.00053384592339e+01°)
1.10917481526240e+00	(-1.26957077907858e+02dB,9.00053507656533e+01°)
1.11173172728159e+00	(-1.26937077907641e+02dB,9.00053631004419e+01°)
1.11429453359173e+00	(-1.26917077907424e+02dB,9.00053754636652e+01°)
1.11686324778056e+00	(-1.26897077907205e+02dB,9.00053878553886e+01°)
1.11943788346715e+00	(-1.26877077906985e+02dB,9.00054002756779e+01°)
1.12201845430196e+00	(-1.26857077906765e+02dB,9.00054127245989e+01°)
1.12460497396692e+00	(-1.26837077906543e+02dB,9.00054252022177e+01°)
1.12719745617551e+00	(-1.26817077906320e+02dB,9.00054377086003e+01°)
1.12979591467280e+00	(-1.26797077906097e+02dB,9.00054502438131e+01°)
1.13240036323556e+00	(-1.26777077905872e+02dB,9.00054628079226e+01°)
1.13501081567231e+00	(-1.26757077905646e+02dB,9.00054754009953e+01°)
1.13762728582343e+00	(-1.26737077905419e+02dB,9.00054880230981e+01°)
1.14024978756117e+00	(-1.26717077905192e+02dB,9.00055006742978e+01°)
1.14287833478977e+00	(-1.26697077904963e+02dB,9.00055133546615e+01°)
1.14551294144553e+00	(-1.26677077904733e+02dB,9.00055260642565e+01°)
1.14815362149688e+00	(-1.26657077904502e+02dB,9.00055388031501e+01°)
1.15080038894443e+00	(-1.26637077904270e+02dB,9.00055515714099e+01°)
1.15345325782109e+00	(-1.26617077904036e+02dB,9.00055643691036e+01°)
1.15611224219210e+00	(-1.26597077903802e+02dB,9.00055771962991e+01°)
1.15877735615512e+00	(-1.26577077903567e+02dB,9.00055900530642e+01°)
1.16144861384034e+00	(-1.26557077903330e+02dB,9.00056029394673e+01°)
1.16412602941049e+00	(-1.26537077903093e+02dB,9.00056158555766e+01°)
1.16680961706096e+00	(-1.26517077902854e+02dB,9.00056288014606e+01°)
1.16949939101987e+00	(-1.26497077902615e+02dB,9.00056417771879e+01°)
1.17219536554813e+00	(-1.26477077902374e+02dB,9.00056547828274e+01°)
1.17489755493953e+00	(-1.26457077902132e+02dB,9.00056678184480e+01°)
1.17760597352080e+00	(-1.26437077901889e+02dB,9.00056808841188e+01°)
1.18032063565173e+00	(-1.26417077901645e+02dB,9.00056939799090e+01°)
1.18304155572516e+00	(-1.26397077901399e+02dB,9.00057071058882e+01°)
1.18576874816716e+00	(-1.26377077901153e+02dB,9.00057202621259e+01°)
1.18850222743702e+00	(-1.26357077900905e+02dB,9.00057334486919e+01°)
1.19124200802737e+00	(-1.26337077900657e+02dB,9.00057466656560e+01°)
1.19398810446427e+00	(-1.26317077900407e+02dB,9.00057599130883e+01°)
1.19674053130724e+00	(-1.26297077900156e+02dB,9.00057731910592e+01°)
1.19949930314938e+00	(-1.26277077899904e+02dB,9.00057864996389e+01°)
1.20226443461741e+00	(-1.26257077899650e+02dB,9.00057998388981e+01°)
1.20503594037179e+00	(-1.26237077899396e+02dB,9.00058132089074e+01°)
1.20781383510678e+00	(-1.26217077899140e+02dB,9.00058266097378e+01°)
1.21059813355048e+00	(-1.26197077898883e+02dB,9.00058400414603e+01°)
1.21338885046497e+00	(-1.26177077898625e+02dB,9.00058535041462e+01°)
1.21618600064636e+00	(-1.26157077898366e+02dB,9.00058669978667e+01°)
1.21898959892486e+00	(-1.26137077898106e+02dB,9.00058805226934e+01°)
1.22179966016487e+00	(-1.26117077897844e+02dB,9.00058940786981e+01°)
1.22461619926504e+00	(-1.26097077897581e+02dB,9.00059076659526e+01°)
1.22743923115840e+00	(-1.26077077897317e+02dB,9.00059212845290e+01°)
1.23026877081238e+00	(-1.26057077897052e+02dB,9.00059349344995e+01°)
1.23310483322890e+00	(-1.26037077896786e+02dB,9.00059486159363e+01°)
1.23594743344451e+00	(-1.26017077896518e+02dB,9.00059623289121e+01°)
1.23879658653036e+00	(-1.25997077896249e+02dB,9.00059760734996e+01°)
1.24165230759241e+00	(-1.25977077895979e+02dB,9.00059898497717e+01°)
1.24451461177138e+00	(-1.25957077895707e+02dB,9.00060036578013e+01°)
1.24738351424294e+00	(-1.25937077895435e+02dB,9.00060174976617e+01°)
1.25025903021771e+00	(-1.25917077895161e+02dB,9.00060313694263e+01°)
1.25314117494141e+00	(-1.25897077894885e+02dB,9.00060452731687e+01°)
1.25602996369487e+00	(-1.25877077894609e+02dB,9.00060592089624e+01°)
1.25892541179416e+00	(-1.25857077894331e+02dB,9.00060731768815e+01°)
1.26182753459066e+00	(-1.25837077894052e+02dB,9.00060871769999e+01°)
1.26473634747115e+00	(-1.25817077893772e+02dB,9.00061012093920e+01°)
1.26765186585784e+00	(-1.25797077893490e+02dB,9.00061152741321e+01°)
1.27057410520854e+00	(-1.25777077893207e+02dB,9.00061293712947e+01°)
1.27350308101666e+00	(-1.25757077892923e+02dB,9.00061435009546e+01°)
1.27643880881134e+00	(-1.25737077892637e+02dB,9.00061576631868e+01°)
1.27938130415752e+00	(-1.25717077892351e+02dB,9.00061718580663e+01°)
1.28233058265602e+00	(-1.25697077892062e+02dB,9.00061860856684e+01°)
1.28528665994361e+00	(-1.25677077891773e+02dB,9.00062003460685e+01°)
1.28824955169313e+00	(-1.25657077891482e+02dB,9.00062146393422e+01°)
1.29121927361353e+00	(-1.25637077891190e+02dB,9.00062289655653e+01°)
1.29419584144998e+00	(-1.25617077890896e+02dB,9.00062433248137e+01°)
1.29717927098395e+00	(-1.25597077890601e+02dB,9.00062577171636e+01°)
1.30016957803328e+00	(-1.25577077890305e+02dB,9.00062721426914e+01°)
1.30316677845229e+00	(-1.25557077890008e+02dB,9.00062866014734e+01°)
1.30617088813183e+00	(-1.25537077889709e+02dB,9.00063010935863e+01°)
1.30918192299940e+00	(-1.25517077889408e+02dB,9.00063156191070e+01°)
1.31219989901920e+00	(-1.25497077889106e+02dB,9.00063301781125e+01°)
1.31522483219223e+00	(-1.25477077888803e+02dB,9.00063447706799e+01°)
1.31825673855640e+00	(-1.25457077888499e+02dB,9.00063593968868e+01°)
1.32129563418657e+00	(-1.25437077888193e+02dB,9.00063740568104e+01°)
1.32434153519466e+00	(-1.25417077887885e+02dB,9.00063887505287e+01°)
1.32739445772973e+00	(-1.25397077887577e+02dB,9.00064034781196e+01°)
1.33045441797808e+00	(-1.25377077887266e+02dB,9.00064182396610e+01°)
1.33352143216332e+00	(-1.25357077886955e+02dB,9.00064330352313e+01°)
1.33659551654643e+00	(-1.25337077886642e+02dB,9.00064478649088e+01°)
1.33967668742593e+00	(-1.25317077886327e+02dB,9.00064627287724e+01°)
1.34276496113786e+00	(-1.25297077886011e+02dB,9.00064776269007e+01°)
1.34586035405594e+00	(-1.25277077885694e+02dB,9.00064925593727e+01°)
1.34896288259164e+00	(-1.25257077885375e+02dB,9.00065075262676e+01°)
1.35207256319427e+00	(-1.25237077885054e+02dB,9.00065225276647e+01°)
1.35518941235103e+00	(-1.25217077884732e+02dB,9.00065375636437e+01°)
1.35831344658715e+00	(-1.25197077884409e+02dB,9.00065526342842e+01°)
1.36144468246594e+00	(-1.25177077884084e+02dB,9.00065677396660e+01°)
1.36458313658892e+00	(-1.25157077883758e+02dB,9.00065828798694e+01°)
1.36772882559584e+00	(-1.25137077883430e+02dB,9.00065980549746e+01°)
1.37088176616484e+00	(-1.25117077883101e+02dB,9.00066132650619e+01°)
1.37404197501251e+00	(-1.25097077882770e+02dB,9.00066285102122e+01°)
1.37720946889394e+00	(-1.25077077882437e+02dB,9.00066437905061e+01°)
1.38038426460288e+00	(-1.25057077882103e+02dB,9.00066591060248e+01°)
1.38356637897177e+00	(-1.25037077881768e+02dB,9.00066744568494e+01°)
1.38675582887188e+00	(-1.25017077881431e+02dB,9.00066898430613e+01°)
1.38995263121334e+00	(-1.24997077881092e+02dB,9.00067052647420e+01°)
1.39315680294529e+00	(-1.24977077880752e+02dB,9.00067207219734e+01°)
1.39636836105593e+00	(-1.24957077880411e+02dB,9.00067362148374e+01°)
1.39958732257261e+00	(-1.24937077880067e+02dB,9.00067517434162e+01°)
1.40281370456195e+00	(-1.24917077879722e+02dB,9.00067673077920e+01°)
1.40604752412990e+00	(-1.24897077879376e+02dB,9.00067829080474e+01°)
1.40928879842186e+00	(-1.24877077879028e+02dB,9.00067985442651e+01°)
1.41253754462274e+00	(-1.24857077878678e+02dB,9.00068142165280e+01°)
1.41579377995707e+00	(-1.24837077878327e+02dB,9.00068299249192e+01°)
1.41905752168908e+00	(-1.24817077877974e+02dB,9.00068456695220e+01°)
1.42232878712281e+00	(-1.24797077877619e+02dB,9.00068614504198e+01°)
1.42560759360218e+00	(-1.24777077877263e+02dB,9.00068772676964e+01°)
1.42889395851109e+00	(-1.24757077876905e+02dB,9.00068931214356e+01°)
1.43218789927353e+00	(-1.24737077876546e+02dB,9.00069090117213e+01°)
1.43548943335364e+00	(-1.24717077876185e+02dB,9.00069249386380e+01°)
