Freq.	V(out_fs)
1.00000000000000e+00	(-1.22102782076356e+02dB,-9.00000018875576e+01°)
1.00230523807790e+00	(-1.22082782076356e+02dB,-9.00000018919089e+01°)
1.00461579027839e+00	(-1.22062782076356e+02dB,-9.00000018962702e+01°)
1.00693166885180e+00	(-1.22042782076356e+02dB,-9.00000019006416e+01°)
1.00925288607668e+00	(-1.22022782076356e+02dB,-9.00000019050230e+01°)
1.01157945425990e+00	(-1.22002782076356e+02dB,-9.00000019094145e+01°)
1.01391138573668e+00	(-1.21982782076356e+02dB,-9.00000019138162e+01°)
1.01624869287070e+00	(-1.21962782076356e+02dB,-9.00000019182280e+01°)
1.01859138805412e+00	(-1.21942782076356e+02dB,-9.00000019226500e+01°)
1.02093948370768e+00	(-1.21922782076356e+02dB,-9.00000019270821e+01°)
1.02329299228075e+00	(-1.21902782076356e+02dB,-9.00000019315245e+01°)
1.02565192625141e+00	(-1.21882782076356e+02dB,-9.00000019359771e+01°)
1.02801629812647e+00	(-1.21862782076356e+02dB,-9.00000019404400e+01°)
1.03038612044162e+00	(-1.21842782076356e+02dB,-9.00000019449132e+01°)
1.03276140576140e+00	(-1.21822782076356e+02dB,-9.00000019493967e+01°)
1.03514216667934e+00	(-1.21802782076356e+02dB,-9.00000019538905e+01°)
1.03752841581801e+00	(-1.21782782076356e+02dB,-9.00000019583947e+01°)
1.03992016582906e+00	(-1.21762782076356e+02dB,-9.00000019629093e+01°)
1.04231742939330e+00	(-1.21742782076356e+02dB,-9.00000019674342e+01°)
1.04472021922080e+00	(-1.21722782076356e+02dB,-9.00000019719696e+01°)
1.04712854805090e+00	(-1.21702782076356e+02dB,-9.00000019765155e+01°)
1.04954242865232e+00	(-1.21682782076356e+02dB,-9.00000019810718e+01°)
1.05196187382322e+00	(-1.21662782076356e+02dB,-9.00000019856387e+01°)
1.05438689639126e+00	(-1.21642782076356e+02dB,-9.00000019902160e+01°)
1.05681750921366e+00	(-1.21622782076356e+02dB,-9.00000019948040e+01°)
1.05925372517729e+00	(-1.21602782076356e+02dB,-9.00000019994025e+01°)
1.06169555719872e+00	(-1.21582782076356e+02dB,-9.00000020040116e+01°)
1.06414301822431e+00	(-1.21562782076356e+02dB,-9.00000020086313e+01°)
1.06659612123026e+00	(-1.21542782076356e+02dB,-9.00000020132617e+01°)
1.06905487922266e+00	(-1.21522782076356e+02dB,-9.00000020179027e+01°)
1.07151930523761e+00	(-1.21502782076356e+02dB,-9.00000020225545e+01°)
1.07398941234124e+00	(-1.21482782076356e+02dB,-9.00000020272169e+01°)
1.07646521362983e+00	(-1.21462782076356e+02dB,-9.00000020318901e+01°)
1.07894672222983e+00	(-1.21442782076356e+02dB,-9.00000020365741e+01°)
1.08143395129794e+00	(-1.21422782076356e+02dB,-9.00000020412689e+01°)
