Freq.	V(out_fs)
1.00000000000000e+00	(-1.22109799602196e+02dB,-9.00000020198785e+01°)
1.00230523807790e+00	(-1.22089799602196e+02dB,-9.00000020245348e+01°)
1.00461579027839e+00	(-1.22069799602196e+02dB,-9.00000020292018e+01°)
1.00693166885180e+00	(-1.22049799602196e+02dB,-9.00000020338796e+01°)
1.00925288607668e+00	(-1.22029799602196e+02dB,-9.00000020385682e+01°)
1.01157945425990e+00	(-1.22009799602196e+02dB,-9.00000020432676e+01°)
1.01391138573668e+00	(-1.21989799602196e+02dB,-9.00000020479778e+01°)
1.01624869287070e+00	(-1.21969799602196e+02dB,-9.00000020526989e+01°)
1.01859138805412e+00	(-1.21949799602196e+02dB,-9.00000020574308e+01°)
1.02093948370768e+00	(-1.21929799602196e+02dB,-9.00000020621737e+01°)
1.02329299228075e+00	(-1.21909799602196e+02dB,-9.00000020669275e+01°)
1.02565192625141e+00	(-1.21889799602196e+02dB,-9.00000020716923e+01°)
1.02801629812647e+00	(-1.21869799602196e+02dB,-9.00000020764680e+01°)
1.03038612044162e+00	(-1.21849799602196e+02dB,-9.00000020812548e+01°)
1.03276140576140e+00	(-1.21829799602196e+02dB,-9.00000020860525e+01°)
1.03514216667934e+00	(-1.21809799602196e+02dB,-9.00000020908614e+01°)
1.03752841581801e+00	(-1.21789799602196e+02dB,-9.00000020956813e+01°)
1.03992016582906e+00	(-1.21769799602196e+02dB,-9.00000021005124e+01°)
1.04231742939330e+00	(-1.21749799602196e+02dB,-9.00000021053546e+01°)
1.04472021922080e+00	(-1.21729799602196e+02dB,-9.00000021102079e+01°)
1.04712854805090e+00	(-1.21709799602196e+02dB,-9.00000021150724e+01°)
1.04954242865232e+00	(-1.21689799602196e+02dB,-9.00000021199482e+01°)
1.05196187382322e+00	(-1.21669799602196e+02dB,-9.00000021248352e+01°)
1.05438689639126e+00	(-1.21649799602196e+02dB,-9.00000021297334e+01°)
1.05681750921366e+00	(-1.21629799602196e+02dB,-9.00000021346430e+01°)
1.05925372517729e+00	(-1.21609799602196e+02dB,-9.00000021395638e+01°)
1.06169555719872e+00	(-1.21589799602196e+02dB,-9.00000021444960e+01°)
1.06414301822431e+00	(-1.21569799602196e+02dB,-9.00000021494396e+01°)
1.06659612123026e+00	(-1.21549799602196e+02dB,-9.00000021543946e+01°)
1.06905487922266e+00	(-1.21529799602196e+02dB,-9.00000021593610e+01°)
1.07151930523761e+00	(-1.21509799602196e+02dB,-9.00000021643388e+01°)
1.07398941234124e+00	(-1.21489799602196e+02dB,-9.00000021693281e+01°)
1.07646521362983e+00	(-1.21469799602196e+02dB,-9.00000021743289e+01°)
1.07894672222983e+00	(-1.21449799602196e+02dB,-9.00000021793413e+01°)
1.08143395129794e+00	(-1.21429799602196e+02dB,-9.00000021843652e+01°)
1.08392691402120e+00	(-1.21409799602196e+02dB,-9.00000021894007e+01°)
1.08642562361706e+00	(-1.21389799602196e+02dB,-9.00000021944477e+01°)
1.08893009333343e+00	(-1.21369799602196e+02dB,-9.00000021995065e+01°)
1.09144033644876e+00	(-1.21349799602196e+02dB,-9.00000022045769e+01°)
1.09395636627209e+00	(-1.21329799602196e+02dB,-9.00000022096589e+01°)
1.09647819614318e+00	(-1.21309799602196e+02dB,-9.00000022147527e+01°)
1.09900583943252e+00	(-1.21289799602196e+02dB,-9.00000022198583e+01°)
1.10153930954141e+00	(-1.21269799602196e+02dB,-9.00000022249756e+01°)
1.10407861990207e+00	(-1.21249799602196e+02dB,-9.00000022301047e+01°)
1.10662378397766e+00	(-1.21229799602196e+02dB,-9.00000022352456e+01°)
1.10917481526240e+00	(-1.21209799602196e+02dB,-9.00000022403984e+01°)
1.11173172728159e+00	(-1.21189799602196e+02dB,-9.00000022455630e+01°)
1.11429453359173e+00	(-1.21169799602196e+02dB,-9.00000022507396e+01°)
1.11686324778056e+00	(-1.21149799602196e+02dB,-9.00000022559281e+01°)
1.11943788346715e+00	(-1.21129799602196e+02dB,-9.00000022611285e+01°)
1.12201845430196e+00	(-1.21109799602196e+02dB,-9.00000022663409e+01°)
1.12460497396692e+00	(-1.21089799602196e+02dB,-9.00000022715654e+01°)
1.12719745617551e+00	(-1.21069799602196e+02dB,-9.00000022768019e+01°)
1.12979591467280e+00	(-1.21049799602196e+02dB,-9.00000022820505e+01°)
1.13240036323556e+00	(-1.21029799602196e+02dB,-9.00000022873111e+01°)
1.13501081567231e+00	(-1.21009799602196e+02dB,-9.00000022925839e+01°)
1.13762728582343e+00	(-1.20989799602196e+02dB,-9.00000022978689e+01°)
1.14024978756117e+00	(-1.20969799602196e+02dB,-9.00000023031660e+01°)
1.14287833478977e+00	(-1.20949799602196e+02dB,-9.00000023084754e+01°)
1.14551294144553e+00	(-1.20929799602196e+02dB,-9.00000023137970e+01°)
1.14815362149688e+00	(-1.20909799602196e+02dB,-9.00000023191308e+01°)
1.15080038894443e+00	(-1.20889799602196e+02dB,-9.00000023244770e+01°)
1.15345325782109e+00	(-1.20869799602196e+02dB,-9.00000023298354e+01°)
1.15611224219210e+00	(-1.20849799602196e+02dB,-9.00000023352063e+01°)
1.15877735615512e+00	(-1.20829799602196e+02dB,-9.00000023405895e+01°)
1.16144861384034e+00	(-1.20809799602196e+02dB,-9.00000023459851e+01°)
1.16412602941049e+00	(-1.20789799602196e+02dB,-9.00000023513931e+01°)
1.16680961706096e+00	(-1.20769799602196e+02dB,-9.00000023568137e+01°)
1.16949939101987e+00	(-1.20749799602196e+02dB,-9.00000023622467e+01°)
1.17219536554813e+00	(-1.20729799602196e+02dB,-9.00000023676922e+01°)
1.17489755493953e+00	(-1.20709799602196e+02dB,-9.00000023731503e+01°)
1.17760597352080e+00	(-1.20689799602196e+02dB,-9.00000023786210e+01°)
1.18032063565173e+00	(-1.20669799602196e+02dB,-9.00000023841043e+01°)
1.18304155572516e+00	(-1.20649799602196e+02dB,-9.00000023896002e+01°)
1.18576874816716e+00	(-1.20629799602196e+02dB,-9.00000023951088e+01°)
1.18850222743702e+00	(-1.20609799602196e+02dB,-9.00000024006301e+01°)
1.19124200802737e+00	(-1.20589799602196e+02dB,-9.00000024061641e+01°)
1.19398810446427e+00	(-1.20569799602196e+02dB,-9.00000024117109e+01°)
1.19674053130724e+00	(-1.20549799602196e+02dB,-9.00000024172705e+01°)
1.19949930314938e+00	(-1.20529799602196e+02dB,-9.00000024228428e+01°)
1.20226443461741e+00	(-1.20509799602196e+02dB,-9.00000024284281e+01°)
1.20503594037179e+00	(-1.20489799602196e+02dB,-9.00000024340262e+01°)
1.20781383510678e+00	(-1.20469799602196e+02dB,-9.00000024396372e+01°)
1.21059813355048e+00	(-1.20449799602196e+02dB,-9.00000024452611e+01°)
1.21338885046497e+00	(-1.20429799602196e+02dB,-9.00000024508981e+01°)
1.21618600064636e+00	(-1.20409799602196e+02dB,-9.00000024565479e+01°)
1.21898959892486e+00	(-1.20389799602196e+02dB,-9.00000024622109e+01°)
1.22179966016487e+00	(-1.20369799602196e+02dB,-9.00000024678869e+01°)
