Freq.	V(out_preamp)
1.00000000000000e+00	(-5.73327121534908e+00dB,-1.79995169807705e+02°)
1.00230523807790e+00	(-5.73327121517299e+00dB,-1.79995158672962e+02°)
1.00461579027839e+00	(-5.73327121499609e+00dB,-1.79995147512550e+02°)
1.00693166885180e+00	(-5.73327121481838e+00dB,-1.79995136326411e+02°)
1.00925288607668e+00	(-5.73327121463984e+00dB,-1.79995125114486e+02°)
1.01157945425990e+00	(-5.73327121446049e+00dB,-1.79995113876714e+02°)
1.01391138573668e+00	(-5.73327121428030e+00dB,-1.79995102613037e+02°)
1.01624869287070e+00	(-5.73327121409928e+00dB,-1.79995091323394e+02°)
1.01859138805412e+00	(-5.73327121391743e+00dB,-1.79995080007726e+02°)
1.02093948370768e+00	(-5.73327121373473e+00dB,-1.79995068665973e+02°)
1.02329299228075e+00	(-5.73327121355120e+00dB,-1.79995057298074e+02°)
1.02565192625141e+00	(-5.73327121336681e+00dB,-1.79995045903969e+02°)
1.02801629812647e+00	(-5.73327121318157e+00dB,-1.79995034483598e+02°)
1.03038612044162e+00	(-5.73327121299549e+00dB,-1.79995023036901e+02°)
1.03276140576140e+00	(-5.73327121280853e+00dB,-1.79995011563816e+02°)
1.03514216667934e+00	(-5.73327121262072e+00dB,-1.79995000064283e+02°)
1.03752841581801e+00	(-5.73327121243204e+00dB,-1.79994988538241e+02°)
1.03992016582906e+00	(-5.73327121224250e+00dB,-1.79994976985629e+02°)
1.04231742939330e+00	(-5.73327121205207e+00dB,-1.79994965406385e+02°)
1.04472021922080e+00	(-5.73327121186077e+00dB,-1.79994953800448e+02°)
1.04712854805090e+00	(-5.73327121166858e+00dB,-1.79994942167757e+02°)
1.04954242865232e+00	(-5.73327121147550e+00dB,-1.79994930508249e+02°)
1.05196187382322e+00	(-5.73327121128154e+00dB,-1.79994918821864e+02°)
1.05438689639126e+00	(-5.73327121108668e+00dB,-1.79994907108539e+02°)
1.05681750921366e+00	(-5.73327121089092e+00dB,-1.79994895368211e+02°)
1.05925372517729e+00	(-5.73327121069425e+00dB,-1.79994883600820e+02°)
1.06169555719872e+00	(-5.73327121049668e+00dB,-1.79994871806302e+02°)
1.06414301822431e+00	(-5.73327121029820e+00dB,-1.79994859984595e+02°)
1.06659612123026e+00	(-5.73327121009880e+00dB,-1.79994848135635e+02°)
1.06905487922266e+00	(-5.73327120989848e+00dB,-1.79994836259362e+02°)
1.07151930523761e+00	(-5.73327120969724e+00dB,-1.79994824355710e+02°)
1.07398941234124e+00	(-5.73327120949507e+00dB,-1.79994812424618e+02°)
1.07646521362983e+00	(-5.73327120929196e+00dB,-1.79994800466022e+02°)
1.07894672222983e+00	(-5.73327120908792e+00dB,-1.79994788479858e+02°)
1.08143395129794e+00	(-5.73327120888293e+00dB,-1.79994776466063e+02°)
1.08392691402120e+00	(-5.73327120867700e+00dB,-1.79994764424574e+02°)
1.08642562361706e+00	(-5.73327120847012e+00dB,-1.79994752355327e+02°)
1.08893009333343e+00	(-5.73327120826228e+00dB,-1.79994740258256e+02°)
1.09144033644876e+00	(-5.73327120805348e+00dB,-1.79994728133299e+02°)
