Freq.	V(out_preamp)
1.00000000000000e+00	(-5.74727831444543e+00dB,-1.79995173884240e+02°)
1.00230523807790e+00	(-5.74727831426937e+00dB,-1.79995162758895e+02°)
1.00461579027839e+00	(-5.74727831409249e+00dB,-1.79995151607902e+02°)
1.00693166885180e+00	(-5.74727831391480e+00dB,-1.79995140431204e+02°)
1.00925288607668e+00	(-5.74727831373628e+00dB,-1.79995129228741e+02°)
1.01157945425990e+00	(-5.74727831355694e+00dB,-1.79995118000454e+02°)
1.01391138573668e+00	(-5.74727831337678e+00dB,-1.79995106746283e+02°)
1.01624869287070e+00	(-5.74727831319579e+00dB,-1.79995095466168e+02°)
1.01859138805412e+00	(-5.74727831301395e+00dB,-1.79995084160050e+02°)
1.02093948370768e+00	(-5.74727831283128e+00dB,-1.79995072827869e+02°)
1.02329299228075e+00	(-5.74727831264776e+00dB,-1.79995061469564e+02°)
1.02565192625141e+00	(-5.74727831246340e+00dB,-1.79995050085076e+02°)
1.02801629812647e+00	(-5.74727831227819e+00dB,-1.79995038674343e+02°)
1.03038612044162e+00	(-5.74727831209212e+00dB,-1.79995027237307e+02°)
1.03276140576140e+00	(-5.74727831190520e+00dB,-1.79995015773905e+02°)
1.03514216667934e+00	(-5.74727831171741e+00dB,-1.79995004284077e+02°)
1.03752841581801e+00	(-5.74727831152875e+00dB,-1.79994992767763e+02°)
1.03992016582906e+00	(-5.74727831133923e+00dB,-1.79994981224900e+02°)
1.04231742939330e+00	(-5.74727831114882e+00dB,-1.79994969655429e+02°)
1.04472021922080e+00	(-5.74727831095755e+00dB,-1.79994958059287e+02°)
1.04712854805090e+00	(-5.74727831076538e+00dB,-1.79994946436413e+02°)
1.04954242865232e+00	(-5.74727831057233e+00dB,-1.79994934786746e+02°)
1.05196187382322e+00	(-5.74727831037839e+00dB,-1.79994923110224e+02°)
1.05438689639126e+00	(-5.74727831018355e+00dB,-1.79994911406784e+02°)
1.05681750921366e+00	(-5.74727830998781e+00dB,-1.79994899676366e+02°)
1.05925372517729e+00	(-5.74727830979117e+00dB,-1.79994887918905e+02°)
1.06169555719872e+00	(-5.74727830959363e+00dB,-1.79994876134341e+02°)
1.06414301822431e+00	(-5.74727830939517e+00dB,-1.79994864322611e+02°)
1.06659612123026e+00	(-5.74727830919580e+00dB,-1.79994852483652e+02°)
1.06905487922266e+00	(-5.74727830899550e+00dB,-1.79994840617402e+02°)
1.07151930523761e+00	(-5.74727830879428e+00dB,-1.79994828723797e+02°)
1.07398941234124e+00	(-5.74727830859213e+00dB,-1.79994816802774e+02°)
1.07646521362983e+00	(-5.74727830838905e+00dB,-1.79994804854270e+02°)
1.07894672222983e+00	(-5.74727830818503e+00dB,-1.79994792878223e+02°)
1.08143395129794e+00	(-5.74727830798007e+00dB,-1.79994780874567e+02°)
1.08392691402120e+00	(-5.74727830777416e+00dB,-1.79994768843241e+02°)
1.08642562361706e+00	(-5.74727830756731e+00dB,-1.79994756784179e+02°)
1.08893009333343e+00	(-5.74727830735950e+00dB,-1.79994744697319e+02°)
1.09144033644876e+00	(-5.74727830715072e+00dB,-1.79994732582595e+02°)
1.09395636627209e+00	(-5.74727830694099e+00dB,-1.79994720439944e+02°)
1.09647819614318e+00	(-5.74727830673029e+00dB,-1.79994708269301e+02°)
1.09900583943252e+00	(-5.74727830651861e+00dB,-1.79994696070602e+02°)
1.10153930954141e+00	(-5.74727830630596e+00dB,-1.79994683843782e+02°)
1.10407861990207e+00	(-5.74727830609232e+00dB,-1.79994671588776e+02°)
1.10662378397766e+00	(-5.74727830587770e+00dB,-1.79994659305520e+02°)
1.10917481526240e+00	(-5.74727830566209e+00dB,-1.79994646993948e+02°)
1.11173172728159e+00	(-5.74727830544548e+00dB,-1.79994634653995e+02°)
1.11429453359173e+00	(-5.74727830522788e+00dB,-1.79994622285595e+02°)
1.11686324778056e+00	(-5.74727830500927e+00dB,-1.79994609888683e+02°)
1.11943788346715e+00	(-5.74727830478965e+00dB,-1.79994597463193e+02°)
1.12201845430196e+00	(-5.74727830456902e+00dB,-1.79994585009060e+02°)
