Freq.	V(out_fs)
1.00000000000000e+00	(-9.00571067788255e+01dB,8.99999882257189e+01°)
1.00230523807790e+00	(-9.00371067788255e+01dB,8.99999881985764e+01°)
1.00461579027839e+00	(-9.00171067788255e+01dB,8.99999881713713e+01°)
1.00693166885180e+00	(-8.99971067788255e+01dB,8.99999881441035e+01°)
1.00925288607668e+00	(-8.99771067788255e+01dB,8.99999881167728e+01°)
1.01157945425990e+00	(-8.99571067788255e+01dB,8.99999880893791e+01°)
1.01391138573668e+00	(-8.99371067788255e+01dB,8.99999880619223e+01°)
1.01624869287070e+00	(-8.99171067788255e+01dB,8.99999880344022e+01°)
1.01859138805412e+00	(-8.98971067788255e+01dB,8.99999880068187e+01°)
1.02093948370768e+00	(-8.98771067788255e+01dB,8.99999879791715e+01°)
1.02329299228075e+00	(-8.98571067788255e+01dB,8.99999879514606e+01°)
1.02565192625141e+00	(-8.98371067788255e+01dB,8.99999879236859e+01°)
1.02801629812647e+00	(-8.98171067788255e+01dB,8.99999878958471e+01°)
1.03038612044162e+00	(-8.97971067788255e+01dB,8.99999878679442e+01°)
1.03276140576140e+00	(-8.97771067788255e+01dB,8.99999878399769e+01°)
1.03514216667934e+00	(-8.97571067788255e+01dB,8.99999878119451e+01°)
1.03752841581801e+00	(-8.97371067788255e+01dB,8.99999877838488e+01°)
1.03992016582906e+00	(-8.97171067788255e+01dB,8.99999877556876e+01°)
1.04231742939330e+00	(-8.96971067788255e+01dB,8.99999877274616e+01°)
1.04472021922080e+00	(-8.96771067788255e+01dB,8.99999876991705e+01°)
1.04712854805090e+00	(-8.96571067788255e+01dB,8.99999876708141e+01°)
1.04954242865232e+00	(-8.96371067788255e+01dB,8.99999876423924e+01°)
1.05196187382322e+00	(-8.96171067788255e+01dB,8.99999876139052e+01°)
1.05438689639126e+00	(-8.95971067788255e+01dB,8.99999875853523e+01°)
1.05681750921366e+00	(-8.95771067788255e+01dB,8.99999875567336e+01°)
1.05925372517729e+00	(-8.95571067788255e+01dB,8.99999875280489e+01°)
1.06169555719872e+00	(-8.95371067788255e+01dB,8.99999874992981e+01°)
1.06414301822431e+00	(-8.95171067788255e+01dB,8.99999874704810e+01°)
1.06659612123026e+00	(-8.94971067788255e+01dB,8.99999874415974e+01°)
1.06905487922266e+00	(-8.94771067788255e+01dB,8.99999874126473e+01°)
1.07151930523761e+00	(-8.94571067788255e+01dB,8.99999873836305e+01°)
1.07398941234124e+00	(-8.94371067788255e+01dB,8.99999873545467e+01°)
1.07646521362983e+00	(-8.94171067788255e+01dB,8.99999873253960e+01°)
1.07894672222983e+00	(-8.93971067788255e+01dB,8.99999872961780e+01°)
1.08143395129794e+00	(-8.93771067788255e+01dB,8.99999872668926e+01°)
1.08392691402120e+00	(-8.93571067788255e+01dB,8.99999872375398e+01°)
1.08642562361706e+00	(-8.93371067788255e+01dB,8.99999872081193e+01°)
1.08893009333343e+00	(-8.93171067788255e+01dB,8.99999871786310e+01°)
1.09144033644876e+00	(-8.92971067788255e+01dB,8.99999871490747e+01°)
1.09395636627209e+00	(-8.92771067788255e+01dB,8.99999871194502e+01°)
1.09647819614318e+00	(-8.92571067788255e+01dB,8.99999870897575e+01°)
1.09900583943252e+00	(-8.92371067788255e+01dB,8.99999870599963e+01°)
1.10153930954141e+00	(-8.92171067788255e+01dB,8.99999870301665e+01°)
1.10407861990207e+00	(-8.91971067788255e+01dB,8.99999870002680e+01°)
1.10662378397766e+00	(-8.91771067788255e+01dB,8.99999869703005e+01°)
1.10917481526240e+00	(-8.91571067788255e+01dB,8.99999869402639e+01°)
1.11173172728159e+00	(-8.91371067788255e+01dB,8.99999869101581e+01°)
1.11429453359173e+00	(-8.91171067788255e+01dB,8.99999868799829e+01°)
1.11686324778056e+00	(-8.90971067788255e+01dB,8.99999868497381e+01°)
1.11943788346715e+00	(-8.90771067788255e+01dB,8.99999868194237e+01°)
1.12201845430196e+00	(-8.90571067788255e+01dB,8.99999867890393e+01°)
1.12460497396692e+00	(-8.90371067788255e+01dB,8.99999867585849e+01°)
1.12719745617551e+00	(-8.90171067788255e+01dB,8.99999867280603e+01°)
1.12979591467280e+00	(-8.89971067788255e+01dB,8.99999866974653e+01°)
