Freq.	V(out_preamp)
1.00000000000000e+00	(1.99999044536548e+01dB,1.79999993697522e+02°)
1.00230523807790e+00	(1.99999044536548e+01dB,1.79999993682993e+02°)
1.00461579027839e+00	(1.99999044536548e+01dB,1.79999993668431e+02°)
1.00693166885180e+00	(1.99999044536548e+01dB,1.79999993653835e+02°)
1.00925288607668e+00	(1.99999044536548e+01dB,1.79999993639206e+02°)
1.01157945425990e+00	(1.99999044536548e+01dB,1.79999993624543e+02°)
1.01391138573668e+00	(1.99999044536548e+01dB,1.79999993609846e+02°)
1.01624869287070e+00	(1.99999044536548e+01dB,1.79999993595115e+02°)
1.01859138805412e+00	(1.99999044536548e+01dB,1.79999993580350e+02°)
1.02093948370768e+00	(1.99999044536548e+01dB,1.79999993565552e+02°)
1.02329299228075e+00	(1.99999044536548e+01dB,1.79999993550719e+02°)
1.02565192625141e+00	(1.99999044536548e+01dB,1.79999993535851e+02°)
1.02801629812647e+00	(1.99999044536548e+01dB,1.79999993520950e+02°)
1.03038612044162e+00	(1.99999044536548e+01dB,1.79999993506014e+02°)
1.03276140576140e+00	(1.99999044536548e+01dB,1.79999993491044e+02°)
1.03514216667934e+00	(1.99999044536548e+01dB,1.79999993476039e+02°)
1.03752841581801e+00	(1.99999044536548e+01dB,1.79999993461000e+02°)
1.03992016582906e+00	(1.99999044536548e+01dB,1.79999993445926e+02°)
1.04231742939330e+00	(1.99999044536548e+01dB,1.79999993430817e+02°)
1.04472021922080e+00	(1.99999044536548e+01dB,1.79999993415674e+02°)
1.04712854805090e+00	(1.99999044536548e+01dB,1.79999993400495e+02°)
1.04954242865232e+00	(1.99999044536548e+01dB,1.79999993385282e+02°)
1.05196187382322e+00	(1.99999044536548e+01dB,1.79999993370034e+02°)
1.05438689639126e+00	(1.99999044536548e+01dB,1.79999993354750e+02°)
1.05681750921366e+00	(1.99999044536548e+01dB,1.79999993339431e+02°)
1.05925372517729e+00	(1.99999044536548e+01dB,1.79999993324077e+02°)
1.06169555719872e+00	(1.99999044536548e+01dB,1.79999993308687e+02°)
1.06414301822431e+00	(1.99999044536548e+01dB,1.79999993293262e+02°)
1.06659612123026e+00	(1.99999044536548e+01dB,1.79999993277802e+02°)
1.06905487922266e+00	(1.99999044536548e+01dB,1.79999993262305e+02°)
1.07151930523761e+00	(1.99999044536548e+01dB,1.79999993246773e+02°)
1.07398941234124e+00	(1.99999044536548e+01dB,1.79999993231205e+02°)
1.07646521362983e+00	(1.99999044536548e+01dB,1.79999993215602e+02°)
1.07894672222983e+00	(1.99999044536548e+01dB,1.79999993199962e+02°)
1.08143395129794e+00	(1.99999044536548e+01dB,1.79999993184286e+02°)
1.08392691402120e+00	(1.99999044536548e+01dB,1.79999993168575e+02°)
1.08642562361706e+00	(1.99999044536548e+01dB,1.79999993152827e+02°)
1.08893009333343e+00	(1.99999044536548e+01dB,1.79999993137042e+02°)
1.09144033644876e+00	(1.99999044536548e+01dB,1.79999993121221e+02°)
1.09395636627209e+00	(1.99999044536548e+01dB,1.79999993105364e+02°)
1.09647819614318e+00	(1.99999044536548e+01dB,1.79999993089470e+02°)
1.09900583943252e+00	(1.99999044536548e+01dB,1.79999993073540e+02°)
1.10153930954141e+00	(1.99999044536548e+01dB,1.79999993057573e+02°)
1.10407861990207e+00	(1.99999044536548e+01dB,1.79999993041569e+02°)
1.10662378397766e+00	(1.99999044536548e+01dB,1.79999993025528e+02°)
1.10917481526240e+00	(1.99999044536548e+01dB,1.79999993009450e+02°)
1.11173172728159e+00	(1.99999044536548e+01dB,1.79999992993335e+02°)
1.11429453359173e+00	(1.99999044536548e+01dB,1.79999992977183e+02°)
1.11686324778056e+00	(1.99999044536548e+01dB,1.79999992960994e+02°)
1.11943788346715e+00	(1.99999044536548e+01dB,1.79999992944768e+02°)
1.12201845430196e+00	(1.99999044536548e+01dB,1.79999992928504e+02°)
1.12460497396692e+00	(1.99999044536548e+01dB,1.79999992912202e+02°)
1.12719745617551e+00	(1.99999044536548e+01dB,1.79999992895863e+02°)
1.12979591467280e+00	(1.99999044536548e+01dB,1.79999992879486e+02°)
1.13240036323556e+00	(1.99999044536548e+01dB,1.79999992863072e+02°)
1.13501081567231e+00	(1.99999044536548e+01dB,1.79999992846619e+02°)
1.13762728582343e+00	(1.99999044536548e+01dB,1.79999992830129e+02°)
1.14024978756117e+00	(1.99999044536548e+01dB,1.79999992813601e+02°)
1.14287833478977e+00	(1.99999044536548e+01dB,1.79999992797035e+02°)
1.14551294144553e+00	(1.99999044536548e+01dB,1.79999992780430e+02°)
1.14815362149688e+00	(1.99999044536548e+01dB,1.79999992763787e+02°)
1.15080038894443e+00	(1.99999044536548e+01dB,1.79999992747106e+02°)
1.15345325782109e+00	(1.99999044536548e+01dB,1.79999992730386e+02°)
1.15611224219210e+00	(1.99999044536548e+01dB,1.79999992713628e+02°)
1.15877735615512e+00	(1.99999044536548e+01dB,1.79999992696831e+02°)
1.16144861384034e+00	(1.99999044536548e+01dB,1.79999992679996e+02°)
1.16412602941049e+00	(1.99999044536548e+01dB,1.79999992663121e+02°)
1.16680961706096e+00	(1.99999044536548e+01dB,1.79999992646208e+02°)
1.16949939101987e+00	(1.99999044536548e+01dB,1.79999992629256e+02°)
1.17219536554813e+00	(1.99999044536548e+01dB,1.79999992612265e+02°)
1.17489755493953e+00	(1.99999044536548e+01dB,1.79999992595234e+02°)
1.17760597352080e+00	(1.99999044536548e+01dB,1.79999992578164e+02°)
1.18032063565173e+00	(1.99999044536548e+01dB,1.79999992561055e+02°)
1.18304155572516e+00	(1.99999044536548e+01dB,1.79999992543907e+02°)
1.18576874816716e+00	(1.99999044536548e+01dB,1.79999992526719e+02°)
1.18850222743702e+00	(1.99999044536548e+01dB,1.79999992509491e+02°)
1.19124200802737e+00	(1.99999044536548e+01dB,1.79999992492224e+02°)
1.19398810446427e+00	(1.99999044536548e+01dB,1.79999992474916e+02°)
1.19674053130724e+00	(1.99999044536548e+01dB,1.79999992457569e+02°)
1.19949930314938e+00	(1.99999044536548e+01dB,1.79999992440182e+02°)
1.20226443461741e+00	(1.99999044536548e+01dB,1.79999992422755e+02°)
1.20503594037179e+00	(1.99999044536548e+01dB,1.79999992405288e+02°)
1.20781383510678e+00	(1.99999044536548e+01dB,1.79999992387780e+02°)
1.21059813355048e+00	(1.99999044536548e+01dB,1.79999992370232e+02°)
1.21338885046497e+00	(1.99999044536548e+01dB,1.79999992352644e+02°)
1.21618600064636e+00	(1.99999044536548e+01dB,1.79999992335015e+02°)
1.21898959892486e+00	(1.99999044536548e+01dB,1.79999992317345e+02°)
1.22179966016487e+00	(1.99999044536548e+01dB,1.79999992299635e+02°)
1.22461619926504e+00	(1.99999044536548e+01dB,1.79999992281883e+02°)
1.22743923115840e+00	(1.99999044536548e+01dB,1.79999992264091e+02°)
1.23026877081238e+00	(1.99999044536548e+01dB,1.79999992246258e+02°)
1.23310483322890e+00	(1.99999044536548e+01dB,1.79999992228384e+02°)
1.23594743344451e+00	(1.99999044536548e+01dB,1.79999992210469e+02°)
1.23879658653036e+00	(1.99999044536548e+01dB,1.79999992192512e+02°)
1.24165230759241e+00	(1.99999044536548e+01dB,1.79999992174514e+02°)
1.24451461177138e+00	(1.99999044536548e+01dB,1.79999992156474e+02°)
1.24738351424294e+00	(1.99999044536548e+01dB,1.79999992138393e+02°)
1.25025903021771e+00	(1.99999044536548e+01dB,1.79999992120270e+02°)
1.25314117494141e+00	(1.99999044536548e+01dB,1.79999992102105e+02°)
1.25602996369487e+00	(1.99999044536548e+01dB,1.79999992083899e+02°)
1.25892541179416e+00	(1.99999044536548e+01dB,1.79999992065650e+02°)
1.26182753459066e+00	(1.99999044536548e+01dB,1.79999992047360e+02°)
1.26473634747115e+00	(1.99999044536548e+01dB,1.79999992029027e+02°)
1.26765186585784e+00	(1.99999044536548e+01dB,1.79999992010652e+02°)
1.27057410520854e+00	(1.99999044536548e+01dB,1.79999991992235e+02°)
1.27350308101666e+00	(1.99999044536548e+01dB,1.79999991973775e+02°)
1.27643880881134e+00	(1.99999044536548e+01dB,1.79999991955273e+02°)
1.27938130415752e+00	(1.99999044536548e+01dB,1.79999991936728e+02°)
1.28233058265602e+00	(1.99999044536548e+01dB,1.79999991918140e+02°)
1.28528665994361e+00	(1.99999044536548e+01dB,1.79999991899509e+02°)
1.28824955169313e+00	(1.99999044536548e+01dB,1.79999991880836e+02°)
1.29121927361353e+00	(1.99999044536548e+01dB,1.79999991862119e+02°)
1.29419584144998e+00	(1.99999044536548e+01dB,1.79999991843359e+02°)
1.29717927098395e+00	(1.99999044536548e+01dB,1.79999991824556e+02°)
1.30016957803328e+00	(1.99999044536548e+01dB,1.79999991805710e+02°)
1.30316677845229e+00	(1.99999044536548e+01dB,1.79999991786820e+02°)
1.30617088813183e+00	(1.99999044536548e+01dB,1.79999991767887e+02°)
1.30918192299940e+00	(1.99999044536548e+01dB,1.79999991748910e+02°)
1.31219989901920e+00	(1.99999044536548e+01dB,1.79999991729889e+02°)
1.31522483219223e+00	(1.99999044536548e+01dB,1.79999991710825e+02°)
1.31825673855640e+00	(1.99999044536548e+01dB,1.79999991691716e+02°)
1.32129563418657e+00	(1.99999044536548e+01dB,1.79999991672563e+02°)
1.32434153519466e+00	(1.99999044536548e+01dB,1.79999991653367e+02°)
1.32739445772973e+00	(1.99999044536548e+01dB,1.79999991634126e+02°)
1.33045441797808e+00	(1.99999044536548e+01dB,1.79999991614840e+02°)
1.33352143216332e+00	(1.99999044536548e+01dB,1.79999991595511e+02°)
1.33659551654643e+00	(1.99999044536548e+01dB,1.79999991576136e+02°)
1.33967668742593e+00	(1.99999044536548e+01dB,1.79999991556717e+02°)
1.34276496113786e+00	(1.99999044536548e+01dB,1.79999991537254e+02°)
1.34586035405594e+00	(1.99999044536548e+01dB,1.79999991517745e+02°)
1.34896288259164e+00	(1.99999044536548e+01dB,1.79999991498191e+02°)
1.35207256319427e+00	(1.99999044536548e+01dB,1.79999991478593e+02°)
1.35518941235103e+00	(1.99999044536548e+01dB,1.79999991458949e+02°)
1.35831344658715e+00	(1.99999044536548e+01dB,1.79999991439260e+02°)
1.36144468246594e+00	(1.99999044536548e+01dB,1.79999991419525e+02°)
1.36458313658892e+00	(1.99999044536548e+01dB,1.79999991399745e+02°)
1.36772882559584e+00	(1.99999044536548e+01dB,1.79999991379919e+02°)
1.37088176616484e+00	(1.99999044536548e+01dB,1.79999991360048e+02°)
1.37404197501251e+00	(1.99999044536548e+01dB,1.79999991340131e+02°)
1.37720946889394e+00	(1.99999044536548e+01dB,1.79999991320168e+02°)
1.38038426460288e+00	(1.99999044536548e+01dB,1.79999991300159e+02°)
1.38356637897177e+00	(1.99999044536548e+01dB,1.79999991280104e+02°)
1.38675582887188e+00	(1.99999044536548e+01dB,1.79999991260002e+02°)
1.38995263121334e+00	(1.99999044536548e+01dB,1.79999991239854e+02°)
1.39315680294529e+00	(1.99999044536548e+01dB,1.79999991219660e+02°)
1.39636836105593e+00	(1.99999044536548e+01dB,1.79999991199419e+02°)
1.39958732257261e+00	(1.99999044536548e+01dB,1.79999991179132e+02°)
1.40281370456195e+00	(1.99999044536548e+01dB,1.79999991158798e+02°)
1.40604752412990e+00	(1.99999044536548e+01dB,1.79999991138417e+02°)
1.40928879842186e+00	(1.99999044536548e+01dB,1.79999991117989e+02°)
