Freq.	V(out)
1.00000000000000e+05	(1.99993789987707e+01dB,1.79369777629993e+02°)
1.00230523807790e+05	(1.99993765735285e+01dB,1.79368324934973e+02°)
1.00461579027839e+05	(1.99993741370933e+01dB,1.79366868891960e+02°)
1.00693166885180e+05	(1.99993716894134e+01dB,1.79365409493241e+02°)
1.00925288607668e+05	(1.99993692304370e+01dB,1.79363946731088e+02°)
1.01157945425990e+05	(1.99993667601118e+01dB,1.79362480597751e+02°)
1.01391138573668e+05	(1.99993642783855e+01dB,1.79361011085466e+02°)
1.01624869287070e+05	(1.99993617852055e+01dB,1.79359538186449e+02°)
1.01859138805412e+05	(1.99993592805189e+01dB,1.79358061892898e+02°)
1.02093948370768e+05	(1.99993567642728e+01dB,1.79356582196995e+02°)
1.02329299228075e+05	(1.99993542364136e+01dB,1.79355099090901e+02°)
1.02565192625141e+05	(1.99993516968878e+01dB,1.79353612566763e+02°)
1.02801629812647e+05	(1.99993491456416e+01dB,1.79352122616705e+02°)
1.03038612044162e+05	(1.99993465826209e+01dB,1.79350629232837e+02°)
1.03276140576140e+05	(1.99993440077713e+01dB,1.79349132407249e+02°)
1.03514216667934e+05	(1.99993414210383e+01dB,1.79347632132013e+02°)
1.03752841581801e+05	(1.99993388223671e+01dB,1.79346128399184e+02°)
1.03992016582906e+05	(1.99993362117025e+01dB,1.79344621200796e+02°)
1.04231742939330e+05	(1.99993335889892e+01dB,1.79343110528867e+02°)
1.04472021922080e+05	(1.99993309541716e+01dB,1.79341596375396e+02°)
1.04712854805090e+05	(1.99993283071938e+01dB,1.79340078732364e+02°)
1.04954242865232e+05	(1.99993256479998e+01dB,1.79338557591733e+02°)
1.05196187382322e+05	(1.99993229765331e+01dB,1.79337032945446e+02°)
1.05438689639126e+05	(1.99993202927372e+01dB,1.79335504785429e+02°)
1.05681750921366e+05	(1.99993175965551e+01dB,1.79333973103587e+02°)
1.05925372517729e+05	(1.99993148879296e+01dB,1.79332437891810e+02°)
1.06169555719872e+05	(1.99993121668034e+01dB,1.79330899141966e+02°)
