Frequency [Hz], Amplitude [dB], Phase [deg]
510.9919839679359, -43.172225999999995, 11.8521015
1011.9839679358718, -40.700905, 10.176363
2013.9679358717435, -46.191284, 155.568741
3015.951903807615, -36.015015, 81.516464
4017.935871743487, -32.430862, 88.18425
5019.919839679359, -28.6896, 91.68853
6021.90380761523, -27.656168, 85.073967
7023.887775551102, -25.337618, 79.611153
8025.871743486974, -23.920835, 80.696198
9027.855711422846, -22.815376, 83.254044
10029.839679358718, -20.671476, 69.373352
11031.82364729459, -20.113775, 77.668427
12033.80761523046, -19.409622, 69.965858
13035.791583166332, -19.318905, 51.649876
14037.775551102204, -20.314953, 44.485809
15039.759519038076, -20.947708, 71.47953
16041.743486973948, -19.236027, 70.705101
17043.72745490982, -21.808998, 48.533825
18045.711422845692, -19.234913, 60.125172
19047.695390781562, -20.999977, 50.52829
20049.679358717436, -20.351997, 52.427353
21051.663326653306, -20.26116, 69.46183
22053.64729458918, -20.76609, 71.001755
23055.63126252505, -19.310299, 75.172134
24057.61523046092, -20.301775, 94.062393
25059.599198396794, -20.295662, 92.368622
26061.583166332664, -20.093348, 90.83149
27063.56713426854, -19.680855, 88.608635
28065.55110220441, -17.907021, 87.834373
29067.535070140282, -19.017601, 90.055649
30069.519038076152, -17.121542, 99.686714
31071.503006012026, -16.943787, 102.057526
32073.486973947896, -16.096315, 103.473572
33075.47094188377, -16.313496, 125.428329
34077.45490981964, -14.074233, 94.63652
35079.438877755514, -14.09088, 153.169083
36081.422845691384, -13.964085, 106.374954
37083.406813627254, -13.527922, 118.823402
38085.390781563125, -12.953759, 119.19825
39087.374749499, -12.569356, 113.153427
40089.35871743487, -11.956063, 114.523735
41091.34268537074, -11.552208, 114.954865
42093.32665330661, -11.626016, 118.550232
43095.31062124248, -10.723568, 116.308441
44097.29458917836, -10.11504, 108.896935
45099.27855711423, -10.003162, 116.297966
46101.2625250501, -9.710648, 117.291687
47103.24649298597, -9.3917, 113.531029
48105.23046092184, -9.02951, 120.196312
49107.21442885772, -8.302085, 123.934853
50109.19839679359, -8.048978, 115.752274
51111.18236472946, -8.18983, 116.756332
52113.16633266533, -7.383826, 118.539467
53115.150300601206, -7.115164, 115.91893
54117.13426853708, -6.714872, 125.802567
55119.11823647295, -6.520287, 113.462486
56121.10220440882, -6.378822, 119.289246
57123.08617234469, -5.892308, 114.031784
58125.070140280564, -5.640936, 118.699997
59127.054108216435, -5.423626, 117.391968
60129.038076152305, -5.046372, 118.351135
61131.022044088175, -5.518577, 114.570396
62133.00601202405, -4.851499, 113.249901
63134.98997995992, -4.776954, 116.739258
64136.97394789579, -5.128655, 120.106018
65138.95791583166, -4.474781, 117.726242
66140.94188376753, -3.27161, 113.136269
67142.9258517034, -2.624413, 116.09082
68144.90981963927, -2.780142, 114.308792
69146.89378757516, -1.924426, 114.931984
70148.87775551103, -1.539816, 114.973183
71150.8617234469, -3.666381, 81.26532
72152.84569138277, -3.919082, 112.627663
73154.82965931864, -1.833645, 115.147186
74156.81362725451, -2.015975, 114.617462
75158.79759519038, -1.323833, 115.493622
76160.78156312625, -1.445557, 122.297958
77162.76553106212, -1.463223, 116.4907
78164.749498998, -1.310551, 115.233353
79166.73346693387, -1.049119, 114.730118
80168.71743486974, -0.843076, 114.045593
81170.70140280561, -0.507465, 111.373528
82172.68537074148, -0.362625, 114.64209
83174.66933867735, -0.479916, 116.94619
84176.65330661323, -0.035553, 115.124763
85178.6372745491, 0.004813, 112.966217
86180.62124248497, 0.343385, 123.425652
87182.60521042085, 0.32623, 114.194901
88184.58917835672, 0.605021, 107.58567
89186.57314629259, 0.834599, 112.673546
90188.55711422846, 0.751258, 112.481689
91190.54108216433, 0.8739, 111.369476
92192.5250501002, 1.002853, 113.497566
93194.50901803607, 1.156219, 115.063828
94196.49298597194, 1.284184, 113.921616
95198.47695390781, 1.19495, 102.796448
96200.46092184368, 1.950031, 108.771248
97202.44488977957, 1.625538, 110.382103
98204.42885771544, 2.452432, 107.390343
99206.4128256513, 2.855969, 110.533371
100208.39679358718, 2.011025, 109.956665
101210.38076152305, 2.529099, 111.511429
102212.36472945892, 2.989295, 104.283546
103214.34869739479, 2.585908, 108.113815
104216.33266533066, 2.803047, 123.640709
105218.31663326653, 3.123739, 129.069794
106220.30060120241, 3.035468, 114.259476
107222.28456913828, 3.335098, 111.951088
108224.26853707415, 3.629291, 109.145096
109226.25250501002, 3.293328, 115.333839
110228.2364729459, 3.89726, 112.020142
111230.22044088176, 3.800784, 108.975731
112232.20440881763, 3.907709, 114.953751
113234.1883767535, 3.993115, 111.595444
114236.17234468937, 3.770418, 110.882935
115238.15631262526, 4.137984, 108.971657
116240.14028056113, 4.026987, 108.236252
117242.124248497, 4.244945, 111.26194
118244.10821643287, 4.407226, 109.665932
119246.09218436874, 4.563712, 113.137924
120248.07615230461, 4.667079, 114.438568
121250.06012024048, 4.664599, 111.074326
122252.04408817635, 4.794114, 111.178581
123254.02805611222, 5.139482, 115.472061
124256.0120240481, 4.837955, 114.004425
125257.99599198397, 5.014277, 105.165207
