Frequency [Hz], Amplitude [dB], Phase [deg]
10, -45.797062, 0.076477
1011.9839679358718, 4.853534, -54.63073
2013.9679358717435, 14.921473, -88.921051
3015.951903807615, 18.585773, -109.945427
4017.935871743487, 20.3769, -122.753143
5019.919839679359, 21.323505, -131.429993
6021.90380761523, 21.902134, -137.228073
7023.887775551102, 22.336056, -140.96492
8025.871743486974, 22.53054, -143.301254
9027.855711422846, 22.834032, -145.368942
10029.839679358718, 22.936028, -147.707733
11031.82364729459, 22.952087, -148.392136
12033.80761523046, 23.170298, -149.265411
13035.791583166332, 23.16552, -149.400833
14037.775551102204, 23.268652, -148.844315
15039.759519038076, 23.632675, -149.603973
16041.743486973948, 23.583225, -149.78125
17043.72745490982, 23.814617, -148.610107
18045.711422845692, 23.970707, -150.176865
19047.695390781562, 24.064762, -149.313187
20049.679358717436, 24.266148, -148.89827
21051.663326653306, 24.403713, -148.638657
22053.64729458918, 24.558117, -149.027451
23055.63126252505, 24.661385, -148.679138
24057.61523046092, 24.826216, -149.081741
25059.599198396794, 25.022587, -148.562881
26061.583166332664, 25.097624, -147.353653
27063.56713426854, 25.237206, -149.048157
28065.55110220441, 25.378468, -147.597595
29067.535070140282, 25.582983, -147.224884
30069.519038076152, 25.669405, -147.87207
31071.503006012026, 25.71472, -147.424515
32073.486973947896, 25.848988, -150.719925
33075.47094188377, 26.103699, -153.024918
34077.45490981964, 26.263092, -150.70224
35079.438877755514, 26.365774, -147.822968
36081.422845691384, 26.439114, -146.594162
37083.406813627254, 26.600868, -147.134048
38085.390781563125, 26.65395, -148.989578
39087.374749499, 26.837872, -148.874451
40089.35871743487, 26.882233, -148.909119
41091.34268537074, 27.033112, -149.10498
42093.32665330661, 27.190311, -148.893875
43095.31062124248, 27.2208, -148.916885
44097.29458917836, 27.293797, -149.182495
45099.27855711423, 27.37344, -148.990768
46101.2625250501, 27.484419, -149.310165
47103.24649298597, 27.497534, -148.850433
48105.23046092184, 27.674572, -150.224701
49107.21442885772, 27.714199, -149.663788
50109.19839679359, 27.782104, -150.431824
51111.18236472946, 27.908504, -150.085434
52113.16633266533, 28.006039, -149.798111
53115.150300601206, 28.047258, -149.73468
54117.13426853708, 28.106367, -151.044037
55119.11823647295, 28.203024, -150.389526
56121.10220440882, 28.276979, -150.314301
57123.08617234469, 28.345543, -151.266998
58125.070140280564, 28.401415, -150.776031
59127.054108216435, 28.566322, -151.065842
60129.038076152305, 28.632847, -150.35788
61131.022044088175, 28.605713, -151.03006
62133.00601202405, 28.677876, -151.312637
63134.98997995992, 28.675869, -151.627747
64136.97394789579, 28.707233, -151.586731
65138.95791583166, 28.69887, -152.677292
66140.94188376753, 28.748205, -148.95929
67142.9258517034, 29.19776, -150.884277
68144.90981963927, 28.937515, -149.826492
69146.89378757516, 29.210598, -150.843552
70148.87775551103, 28.941229, -152.513626
71150.8617234469, 29.216389, -152.027802
72152.84569138277, 29.390179, -159.729065
73154.82965931864, 29.087757, -148.748001
74156.81362725451, 29.446182, -153.364273
75158.79759519038, 29.509296, -156.104416
76160.78156312625, 29.538097, -152.483353
77162.76553106212, 29.453354, -153.276596
78164.749498998, 29.487988, -152.760803
