Frequency [Hz], Amplitude [dB], Phase [deg]
200.00000000000003, -18.709465, -20.519421
202.25996924564188, -19.601707, 20.77803
204.54547579624, -16.749401, 11.788971
206.8568082194134, -15.127659, 21.991386
209.19425834355096, -15.406494, -0.126221
211.55812129465738, -18.743999, -36.787842
213.94869553361565, -21.516289, -120.998688
216.36628289387147, -16.586166, 0.995461
218.81118861954144, -14.407372, 66.156235
221.28372140395396, -14.314259, -13.520309
223.78419342862455, -16.344841, -25.137199
226.31292040267186, -17.268108, -6.090797
228.870221602679, -14.133018, -15.470734
231.45641991300548, -12.953018, -48.365307
234.07184186655428, -11.143261, -34.887955
236.71681768600007, -12.923283, 15.481071
239.3916813254827, -15.135334, -36.319576
242.0967705127731, -13.372608, -72.196892
244.83242679191352, -16.560177, -20.926159
247.59899556634147, -11.101257, -25.534222
250.3968261425002, -13.430164, -13.7183
253.2262717739421, -13.244076, -7.140434
256.0876897059304, -9.583023, -44.177322
258.9814412205448, -11.468281, 34.992805
261.90789168229696, -10.925018, 12.309151
264.8674105842614, -11.588421, 0.131088
267.86037159472755, -10.960182, 10.405334
270.8871526043787, -9.622177, -12.246834
273.94813577400566, -11.280067, -15.85701
277.0437075827565, -12.753586, 4.609169
280.17425887693463, -10.791218, 4.374352
283.3401849193465, -9.217968, 11.55381
286.54188543920753, -7.682377, 10.322273
289.7797646826117, -10.667374, 15.46949
293.0542314635719, -10.40937, -8.940819
296.3656992156363, -8.276989, -22.16943
299.7145860440888, -7.521145, -22.335709
303.1013147787381, -10.104916, -5.479691
306.52631302730583, -9.547733, 9.942184
309.9900132294144, -6.666016, -4.908813
313.4928527111873, -8.720692, -11.855423
317.0352737404664, -9.451977, -0.172729
320.61772358265193, -7.23558, 1.398247
324.24065455717437, -5.284, 5.172356
327.9045240946044, -8.508087, 8.145889
331.60979479440755, -6.052944, -4.896698
335.3569344833524, -6.534718, -9.933884
339.14641627457763, -5.506847, -38.615963
342.9787186273286, -5.749554, -15.91539
346.85432540736565, -6.275307, 1.380287
350.7737259480582, -4.123886, -18.461647
354.73741511216724, -5.676472, -8.448326
358.7458933543272, -4.180096, -7.045059
362.79966678423267, -4.506672, -20.766411
366.8992472305401, -4.46629, -30.610104
371.04515230549094, -3.865055, -13.955978
375.2379054702655, -3.936127, -16.138672
379.47803610107485, -2.345074, -27.961266
383.76607955599945, -3.009373, -11.215294
388.10257724258497, -1.882313, -10.676254
392.4880766861979, -1.601261, -22.580009
396.92313159915756, -3.101372, -24.24522
401.40830195064734, -0.881485, -26.993977
