Frequency [Hz], Amplitude [dB], Phase [deg]
200.00000000000003, -17.587841, -12.603394
201.57252545341674, -17.590263, -23.896824
203.15741508834145, -17.641647, 8.294357
204.75476611972528, -14.99691, -1.915825
206.36467652688333, -14.69516, -10.158241
207.98724505950648, -14.457066, 16.687965
209.62257124371695, -15.344654, -23.577503
211.27075538817377, -18.99868, -9.973389
212.93189859022615, -18.727978, 29.481407
214.6061027421133, -17.796211, 26.748184
216.293470537216, -15.4105, 41.444733
217.99410547635404, -16.902603, 13.400307
219.70811187413568, -14.4739, 8.734505
221.4355948653567, -13.258743, 14.184273
223.1766604114477, -18.846893, -45.885551
224.9314153069754, -16.935047, -31.422684
226.69996718619174, -16.60984, -18.046471
228.4824245296366, -18.884708, 25.042618
230.27889667079268, -17.216537, 27.47113
232.08949380279014, -12.240719, -23.970955
233.91432698516758, -12.588352, 39.990593
235.75350815068265, -12.291119, 23.734886
237.60715011217857, -15.904678, 31.935936
239.47536656950462, -13.609951, 44.597542
241.3582721164886, -14.656391, -40.031265
243.25598224796786, -17.808331, 30.931725
245.16861336687194, -11.419998, 26.04187
247.0962827913631, -9.4776, 12.78006
249.0391087620335, -7.142021, -14.182304
250.99721044915577, -15.760952, -23.957554
252.97070795999522, -15.100533, 6.774147
254.9597223461749, -11.2873, -76.074402
256.96437561110173, -11.318352, 31.272209
258.98479071745066, -10.649246, 3.838226
261.02109159470564, -11.85463, 8.91053
263.07340314676185, -12.191837, -13.195854
265.141851259588, -14.41523, 14.736206
267.2265628089464, -14.739796, -5.60524
269.3276656681771, -10.837597, 15.25901
271.4452887160396, -12.405167, 77.587143
273.57956184461943, -10.189762, -14.361107
275.7306159672957, -14.181103, -14.32341
277.89858302676964, -13.025059, 0.042458
280.0835960031598, -12.771114, -3.110886
282.28578892215705, -9.684937, 23.172119
284.5052968632463, -9.900574, 15.669106
286.742255967993, -8.849907, -4.09864
288.9968034483917, -10.338924, 15.358719
291.269077595285, -9.068806, -29.985806
293.559217786844, -10.539143, 11.372513
295.8673644971183, -8.495914, 5.876694
298.19365930465347, -7.485138, -1.199516
300.5382449011733, -7.293007, -8.146896
302.90126510033474, -10.764057, -10.814339
305.2828648465467, -9.359329, -24.008217
307.68319022386225, -9.302891, -19.243023
310.1023884649397, -5.687767, -10.298752
312.5406079600715, -8.740471, -14.613434
314.99799826628924, -8.459431, -21.233624
317.47471011653454, -8.548096, -1.995811
319.9708954289059, -8.246609, 7.018738
322.4867073159784, -6.849854, -25.644974
325.02230009419264, -5.97673, -19.053375
327.5778292933235, -6.354797, -44.451256
330.1534516660172, -7.125244, -28.017792
332.7493251974078, -7.102234, -6.647469
335.36560911480865, -5.495625, -10.05114
338.00246389747645, -5.680328, -16.415558
340.6600512864582, -6.931351, -9.480293
343.3385342945092, -6.100143, -28.315495
346.03807721609337, -6.017593, -8.249603
348.7588456374618, -4.134476, -8.349777
351.5010064468071, -4.137867, -11.092484
354.2647278445031, -4.747005, -9.147179
357.05017935341925, -5.63562, 3.421844
359.8575318293201, -3.956284, -4.917336
362.6869574713468, -2.262634, -22.07024
365.5386298325765, -4.063816, -8.642899
368.41272383067013, -4.220333, -18.304367
371.3094157586017, -4.016468, -11.643074
374.2288832954697, -2.880634, -8.92907
377.17130551739893, -1.297256, -37.762726
380.13686290852155, -3.085651, -33.362617
383.1257373720493, -3.867062, -26.180931
386.1381122414323, -1.804989, -26.499355
389.1741722916015, -2.205639, -24.511482
392.2341037503062, -1.612022, -26.607464
395.3180943095334, -2.577564, -22.779369
398.42633313702265, -1.470074, -23.47673
401.55901088786993, -0.463772, -33.341831
404.7163197162196, 0.101391, -33.341572
407.89845328705405, -1.065739, -19.391792
411.10560678807, -0.719879, -24.268616
414.3379769416524, -0.108173, -31.282974
417.5957620169421, 0.705839, -25.692482
420.87916184199463, -0.441002, -25.131908
424.18837781604077, -0.438465, -24.105518
427.5236129218371, 1.537725, -36.959328
430.885071738118, 1.073774, -44.826782
434.2729604521454, 0.757694, -34.723244
437.6874868723531, 2.773272, -29.595207
441.1288604410969, 2.09886, -39.578785
444.59729224749856, 1.643028, -38.194305
448.09299504039484, 1.143045, -29.364998
451.61618324138857, 2.013165, -34.792744
455.1670729579981, 1.656187, -34.534668
458.74588199691624, 2.683369, -39.584385
462.35282987736747, 1.536484, -30.980606
465.98813784457406, 3.767384, -35.016979
469.6520288833283, 3.255304, -51.261917
473.344727731667, 2.309231, -35.975384
477.0664608946602, 2.982409, -40.183681
480.81745665830164, 3.962435, -34.374756
484.5979451035125, 3.879314, -46.414707
488.408158120256, 4.087637, -40.361382
492.2483294217579, 4.571127, -38.486595
496.11869455884573, 4.948425, -47.079746
500.019490934394, 4.474756, -39.038948
503.9509578178875, 4.934656, -40.159092
507.9133363600993, 5.156521, -53.433388
511.9068696078791, 4.839764, -48.277153
515.9318025190654, 5.647198, -52.325958
519.9883819775074, 6.460859, -52.866508
524.0768568082099, 6.225332, -52.430481
528.1974777925975, 5.848703, -53.822784
532.3504976838939, 7.630564, -45.908951
536.5361712226287, 6.310379, -48.6483
540.7547551522604, 6.408989, -48.756046
545.0065082349251, 7.730576, -48.058399
549.2916912673111, 7.252081, -44.727737
553.6105670966513, 7.627502, -49.907249
557.963400636851, 8.34659, -53.040001
562.3504588847329, 7.610258, -58.046913
566.7720109364165, 8.162973, -54.063118
571.2283280038249, 8.098381, -41.647579
575.7196834313178, 8.878866, -58.096516
580.2463527124615, 9.492992, -51.418427
584.8086135069243, 9.252579, -57.943893
589.4067456575086, 9.188566, -57.003128
594.0410312073184, 9.488865, -55.107098
598.7117544170549, 10.372292, -62.027901
603.4192017824578, 9.596224, -54.918259
608.1636620518743, 10.481977, -53.875011
612.9454262439722, 10.473347, -66.894623
617.7647876655922, 10.240068, -57.635872
622.6220419297351, 11.101307, -58.362831
627.5174869736991, 10.537613, -62.28804
632.4514230773502, 11.448179, -62.468796
637.4241528815434, 11.543423, -63.85778
642.4359814066875, 11.689951, -64.142197
647.4872160714506, 12.189016, -64.766861
652.5781667116221, 11.917221, -70.033257
