Frequency [Hz], Amplitude [dB], Phase [deg]
200.00000000000003, -17.846584, 8.267715
205.70658496878707, -13.283989, 5.264778
211.57599549760403, -17.295483, 18.122581
217.61287747591794, -15.490475, 14.719131
223.8220093540108, -12.67205, 10.950714
230.20830592532735, -13.829166, -8.624931
236.7768222167441, -13.381073, -20.253094
243.5327574898403, -11.740459, -0.073883
250.4814593563342, -10.92297, 7.05127
257.6284280109477, -12.667503, -30.870182
264.97932058504523, -12.788204, 60.678406
272.53995562449535, -9.451641, -0.514305
280.3163176952985, -11.690296, -5.201515
288.3145621206271, -9.787918, -2.552505
296.541019853027, -9.654488, 0.225113
305.0022024856374, -8.909573, -8.688194
313.7048074063945, -8.459961, -24.230801
322.6557230993023, -8.095253, -18.705826
331.86203459696026, -8.537632, -13.766014
341.33102908867073, -5.360821, -22.137623
351.0702016885608, -4.851883, -32.706539
361.0872613682857, -4.727364, -37.122417
371.39013705900936, -4.240265, -8.150276
381.98698392749293, -3.526634, -38.522121
392.8861898312575, -1.849266, -34.084343
404.09638195793286, -0.791412, -43.569942
415.6264336540447, -1.327076, -27.962688
427.48547144864835, 1.01297, -35.02103
439.6828822773664, 1.205441, -45.251888
452.22832091255134, 2.266928, -31.315132
465.13171760544816, 1.887478, -43.652245
478.40328594641494, 2.695368, -45.464279
492.05353094941563, 3.953497, -48.428509
506.09325736718824, 4.98967, -53.592804
520.5335782436686, 5.610199, -46.562782
535.3859237104398, 6.910191, -66.254311
550.6620500341706, 6.057367, -52.172241
566.3740489222023, 8.099564, -55.550591
582.5343570936548, 8.394381, -56.620972
599.1557661236182, 9.034374, -55.491653
616.2514325682338, 10.012815, -65.589172
633.8348883786706, 10.942869, -56.883522
651.9200516122432, 11.637337, -70.468254
670.5212374491498, 11.804871, -61.345467
689.6531695235487, 12.864719, -66.533546
709.330991577946, 12.928839, -67.920128
729.5702794501135, 13.865185, -77.382133
750.3870534020324, 14.726612, -74.366653
771.7977908006146, 15.800116, -79.131248
793.8194391602437, 16.541046, -77.393982
816.4694295574569, 16.875214, -78.271141
839.7656904283905, 17.257257, -81.339111
863.7266617598991, 18.313995, -85.446205
888.3713096855973, 18.719027, -86.084381
913.7191414983648, 19.126955, -91.236641
