Freq.	V(out_fs)
1.00000000000000e+05	(3.92188474524891e+00dB,8.90926015303044e+01°)
1.00023028502082e+05	(3.92388455706964e+00dB,8.90923925795384e+01°)
1.00046062307284e+05	(3.92588436880371e+00dB,8.90921835806606e+01°)
1.00069101416826e+05	(3.92788418045107e+00dB,8.90919745336601e+01°)
1.00092145831930e+05	(3.92988399201169e+00dB,8.90917654385258e+01°)
1.00115195553817e+05	(3.93188380348552e+00dB,8.90915562952466e+01°)
1.00138250583710e+05	(3.93388361487252e+00dB,8.90913471038115e+01°)
1.00161310922831e+05	(3.93588342617266e+00dB,8.90911378642093e+01°)
1.00184376572403e+05	(3.93788323738589e+00dB,8.90909285764289e+01°)
1.00207447533648e+05	(3.93988304851217e+00dB,8.90907192404593e+01°)
1.00230523807790e+05	(3.94188285955147e+00dB,8.90905098562893e+01°)
1.00253605396052e+05	(3.94388267050374e+00dB,8.90903004239080e+01°)
1.00276692299659e+05	(3.94588248136894e+00dB,8.90900909433041e+01°)
1.00299784519833e+05	(3.94788229214704e+00dB,8.90898814144666e+01°)
1.00322882057800e+05	(3.94988210283800e+00dB,8.90896718373843e+01°)
1.00345984914784e+05	(3.95188191344176e+00dB,8.90894622120462e+01°)
1.00369093092010e+05	(3.95388172395829e+00dB,8.90892525384412e+01°)
1.00392206590702e+05	(3.95588153438756e+00dB,8.90890428165581e+01°)
1.00415325412088e+05	(3.95788134472953e+00dB,8.90888330463859e+01°)
1.00438449557391e+05	(3.95988115498414e+00dB,8.90886232279134e+01°)
1.00461579027839e+05	(3.96188096515137e+00dB,8.90884133611295e+01°)
1.00484713824658e+05	(3.96388077523117e+00dB,8.90882034460230e+01°)
1.00507853949074e+05	(3.96588058522350e+00dB,8.90879934825829e+01°)
1.00530999402313e+05	(3.96788039512832e+00dB,8.90877834707981e+01°)
1.00554150185604e+05	(3.96988020494559e+00dB,8.90875734106574e+01°)
1.00577306300174e+05	(3.97188001467527e+00dB,8.90873633021496e+01°)
1.00600467747249e+05	(3.97387982431733e+00dB,8.90871531452637e+01°)
1.00623634528060e+05	(3.97587963387171e+00dB,8.90869429399884e+01°)
1.00646806643832e+05	(3.97787944333838e+00dB,8.90867326863127e+01°)
1.00669984095796e+05	(3.97987925271731e+00dB,8.90865223842255e+01°)
1.00693166885180e+05	(3.98187906200844e+00dB,8.90863120337155e+01°)
1.00716355013213e+05	(3.98387887121174e+00dB,8.90861016347717e+01°)
1.00739548481125e+05	(3.98587868032716e+00dB,8.90858911873828e+01°)
1.00762747290145e+05	(3.98787848935468e+00dB,8.90856806915378e+01°)
1.00785951441503e+05	(3.98987829829424e+00dB,8.90854701472255e+01°)
1.00809160936429e+05	(3.99187810714581e+00dB,8.90852595544346e+01°)
1.00832375776155e+05	(3.99387791590935e+00dB,8.90850489131542e+01°)
1.00855595961910e+05	(3.99587772458481e+00dB,8.90848382233729e+01°)
1.00878821494927e+05	(3.99787753317216e+00dB,8.90846274850797e+01°)
1.00902052376435e+05	(3.99987734167135e+00dB,8.90844166982633e+01°)
1.00925288607668e+05	(4.00187715008234e+00dB,8.90842058629126e+01°)
1.00948530189857e+05	(4.00387695840509e+00dB,8.90839949790165e+01°)
1.00971777124234e+05	(4.00587676663958e+00dB,8.90837840465637e+01°)
1.00995029412032e+05	(4.00787657478574e+00dB,8.90835730655431e+01°)
1.01018287054483e+05	(4.00987638284354e+00dB,8.90833620359435e+01°)
1.01041550052821e+05	(4.01187619081294e+00dB,8.90831509577537e+01°)
1.01064818408279e+05	(4.01387599869391e+00dB,8.90829398309625e+01°)
1.01088092122091e+05	(4.01587580648639e+00dB,8.90827286555588e+01°)
1.01111371195490e+05	(4.01787561419035e+00dB,8.90825174315313e+01°)
1.01134655629712e+05	(4.01987542180575e+00dB,8.90823061588689e+01°)
1.01157945425989e+05	(4.02187522933255e+00dB,8.90820948375603e+01°)
1.01181240585558e+05	(4.02387503677069e+00dB,8.90818834675944e+01°)
1.01204541109654e+05	(4.02587484412016e+00dB,8.90816720489600e+01°)
1.01227846999511e+05	(4.02787465138090e+00dB,8.90814605816458e+01°)
1.01251158256365e+05	(4.02987445855287e+00dB,8.90812490656406e+01°)
1.01274474881453e+05	(4.03187426563604e+00dB,8.90810375009334e+01°)
1.01297796876010e+05	(4.03387407263036e+00dB,8.90808258875128e+01°)
1.01321124241273e+05	(4.03587387953579e+00dB,8.90806142253675e+01°)
1.01344456978479e+05	(4.03787368635229e+00dB,8.90804025144865e+01°)
1.01367795088864e+05	(4.03987349307982e+00dB,8.90801907548585e+01°)
1.01391138573667e+05	(4.04187329971833e+00dB,8.90799789464723e+01°)
1.01414487434125e+05	(4.04387310626779e+00dB,8.90797670893166e+01°)
1.01437841671476e+05	(4.04587291272816e+00dB,8.90795551833802e+01°)
1.01461201286958e+05	(4.04787271909940e+00dB,8.90793432286519e+01°)
1.01484566281809e+05	(4.04987252538145e+00dB,8.90791312251205e+01°)
1.01507936657269e+05	(4.05187233157429e+00dB,8.90789191727747e+01°)
1.01531312414576e+05	(4.05387213767787e+00dB,8.90787070716032e+01°)
1.01554693554969e+05	(4.05587194369216e+00dB,8.90784949215950e+01°)
1.01578080079690e+05	(4.05787174961710e+00dB,8.90782827227386e+01°)
1.01601471989976e+05	(4.05987155545266e+00dB,8.90780704750229e+01°)
1.01624869287069e+05	(4.06187136119879e+00dB,8.90778581784366e+01°)
1.01648271972209e+05	(4.06387116685547e+00dB,8.90776458329685e+01°)
1.01671680046637e+05	(4.06587097242264e+00dB,8.90774334386073e+01°)
1.01695093511594e+05	(4.06787077790026e+00dB,8.90772209953418e+01°)
1.01718512368321e+05	(4.06987058328830e+00dB,8.90770085031606e+01°)
1.01741936618060e+05	(4.07187038858670e+00dB,8.90767959620526e+01°)
1.01765366262053e+05	(4.07387019379544e+00dB,8.90765833720065e+01°)
1.01788801301542e+05	(4.07586999891446e+00dB,8.90763707330110e+01°)
1.01812241737769e+05	(4.07786980394373e+00dB,8.90761580450549e+01°)
1.01835687571978e+05	(4.07986960888321e+00dB,8.90759453081268e+01°)
1.01859138805411e+05	(4.08186941373285e+00dB,8.90757325222156e+01°)
1.01882595439312e+05	(4.08386921849262e+00dB,8.90755196873098e+01°)
1.01906057474924e+05	(4.08586902316247e+00dB,8.90753068033983e+01°)
1.01929524913492e+05	(4.08786882774236e+00dB,8.90750938704698e+01°)
1.01952997756260e+05	(4.08986863223225e+00dB,8.90748808885130e+01°)
1.01976476004471e+05	(4.09186843663209e+00dB,8.90746678575166e+01°)
1.01999959659371e+05	(4.09386824094185e+00dB,8.90744547774693e+01°)
1.02023448722206e+05	(4.09586804516148e+00dB,8.90742416483598e+01°)
1.02046943194219e+05	(4.09786784929095e+00dB,8.90740284701769e+01°)
1.02070443076658e+05	(4.09986765333022e+00dB,8.90738152429092e+01°)
1.02093948370767e+05	(4.10186745727922e+00dB,8.90736019665454e+01°)
1.02117459077794e+05	(4.10386726113794e+00dB,8.90733886410743e+01°)
1.02140975198984e+05	(4.10586706490633e+00dB,8.90731752664845e+01°)
1.02164496735585e+05	(4.10786686858433e+00dB,8.90729618427647e+01°)
1.02188023688843e+05	(4.10986667217193e+00dB,8.90727483699036e+01°)
1.02211556060006e+05	(4.11186647566907e+00dB,8.90725348478900e+01°)
1.02235093850322e+05	(4.11386627907570e+00dB,8.90723212767124e+01°)
1.02258637061039e+05	(4.11586608239180e+00dB,8.90721076563596e+01°)
1.02282185693404e+05	(4.11786588561732e+00dB,8.90718939868203e+01°)
1.02305739748666e+05	(4.11986568875220e+00dB,8.90716802680831e+01°)
1.02329299228075e+05	(4.12186549179642e+00dB,8.90714665001367e+01°)
1.02352864132878e+05	(4.12386529474994e+00dB,8.90712526829697e+01°)
1.02376434464327e+05	(4.12586509761270e+00dB,8.90710388165709e+01°)
1.02400010223669e+05	(4.12786490038468e+00dB,8.90708249009290e+01°)
1.02423591412156e+05	(4.12986470306581e+00dB,8.90706109360325e+01°)
1.02447178031037e+05	(4.13186450565608e+00dB,8.90703969218702e+01°)
1.02470770081564e+05	(4.13386430815542e+00dB,8.90701828584306e+01°)
1.02494367564986e+05	(4.13586411056381e+00dB,8.90699687457026e+01°)
1.02517970482555e+05	(4.13786391288120e+00dB,8.90697545836746e+01°)
1.02541578835522e+05	(4.13986371510753e+00dB,8.90695403723354e+01°)
1.02565192625140e+05	(4.14186351724279e+00dB,8.90693261116737e+01°)
1.02588811852659e+05	(4.14386331928693e+00dB,8.90691118016780e+01°)
1.02612436519333e+05	(4.14586312123990e+00dB,8.90688974423369e+01°)
1.02636066626414e+05	(4.14786292310165e+00dB,8.90686830336393e+01°)
1.02659702175154e+05	(4.14986272487214e+00dB,8.90684685755736e+01°)
1.02683343166808e+05	(4.15186252655135e+00dB,8.90682540681286e+01°)
1.02706989602627e+05	(4.15386232813922e+00dB,8.90680395112928e+01°)
1.02730641483867e+05	(4.15586212963571e+00dB,8.90678249050549e+01°)
1.02754298811780e+05	(4.15786193104078e+00dB,8.90676102494035e+01°)
1.02777961587622e+05	(4.15986173235439e+00dB,8.90673955443273e+01°)
1.02801629812646e+05	(4.16186153357648e+00dB,8.90671807898148e+01°)
1.02825303488109e+05	(4.16386133470704e+00dB,8.90669659858547e+01°)
1.02848982615264e+05	(4.16586113574600e+00dB,8.90667511324356e+01°)
1.02872667195367e+05	(4.16786093669333e+00dB,8.90665362295462e+01°)
1.02896357229674e+05	(4.16986073754900e+00dB,8.90663212771750e+01°)
1.02920052719442e+05	(4.17186053831294e+00dB,8.90661062753106e+01°)
1.02943753665926e+05	(4.17386033898513e+00dB,8.90658912239416e+01°)
1.02967460070382e+05	(4.17586013956550e+00dB,8.90656761230567e+01°)
1.02991171934069e+05	(4.17785994005405e+00dB,8.90654609726445e+01°)
1.03014889258242e+05	(4.17985974045071e+00dB,8.90652457726935e+01°)
1.03038612044161e+05	(4.18185954075544e+00dB,8.90650305231924e+01°)
1.03062340293081e+05	(4.18385934096820e+00dB,8.90648152241297e+01°)
1.03086074006261e+05	(4.18585914108895e+00dB,8.90645998754941e+01°)
1.03109813184961e+05	(4.18785894111765e+00dB,8.90643844772741e+01°)
1.03133557830437e+05	(4.18985874105424e+00dB,8.90641690294583e+01°)
1.03157307943950e+05	(4.19185854089870e+00dB,8.90639535320353e+01°)
1.03181063526758e+05	(4.19385834065098e+00dB,8.90637379849937e+01°)
1.03204824580121e+05	(4.19585814031103e+00dB,8.90635223883220e+01°)
1.03228591105299e+05	(4.19785793987882e+00dB,8.90633067420088e+01°)
1.03252363103551e+05	(4.19985773935429e+00dB,8.90630910460428e+01°)
1.03276140576139e+05	(4.20185753873742e+00dB,8.90628753004125e+01°)
1.03299923524322e+05	(4.20385733802815e+00dB,8.90626595051064e+01°)
1.03323711949362e+05	(4.20585713722644e+00dB,8.90624436601131e+01°)
1.03347505852520e+05	(4.20785693633226e+00dB,8.90622277654212e+01°)
1.03371305235057e+05	(4.20985673534556e+00dB,8.90620118210192e+01°)
1.03395110098236e+05	(4.21185653426629e+00dB,8.90617958268957e+01°)
1.03418920443318e+05	(4.21385633309441e+00dB,8.90615797830392e+01°)
