Freq.	V(out_fs)
1.00000000000000e+05	(-1.00568845623235e+01dB,-9.05471964803010e+01°)
1.00230523807790e+05	(-1.00368839777037e+01dB,-9.05484579732108e+01°)
1.00461579027839e+05	(-1.00168833903860e+01dB,-9.05497223746803e+01°)
1.00693166885180e+05	(-9.99688280035796e+00dB,-9.05509896914179e+01°)
1.00925288607668e+05	(-9.97688220760707e+00dB,-9.05522599301476e+01°)
1.01157945425990e+05	(-9.95688161212077e+00dB,-9.05535330976089e+01°)
1.01391138573668e+05	(-9.93688101388645e+00dB,-9.05548092005570e+01°)
1.01624869287070e+05	(-9.91688041289141e+00dB,-9.05560882457626e+01°)
1.01859138805412e+05	(-9.89687980912292e+00dB,-9.05573702400118e+01°)
1.02093948370768e+05	(-9.87687920256820e+00dB,-9.05586551901069e+01°)
1.02329299228075e+05	(-9.85687859321438e+00dB,-9.05599431028654e+01°)
1.02565192625141e+05	(-9.83687798104854e+00dB,-9.05612339851208e+01°)
1.02801629812647e+05	(-9.81687736605772e+00dB,-9.05625278437222e+01°)
1.03038612044162e+05	(-9.79687674822888e+00dB,-9.05638246855348e+01°)
1.03276140576140e+05	(-9.77687612754893e+00dB,-9.05651245174395e+01°)
1.03514216667934e+05	(-9.75687550400471e+00dB,-9.05664273463329e+01°)
1.03752841581801e+05	(-9.73687487758301e+00dB,-9.05677331791279e+01°)
1.03992016582906e+05	(-9.71687424827055e+00dB,-9.05690420227530e+01°)
1.04231742939330e+05	(-9.69687361605400e+00dB,-9.05703538841529e+01°)
1.04472021922080e+05	(-9.67687298091996e+00dB,-9.05716687702884e+01°)
1.04712854805090e+05	(-9.65687234285496e+00dB,-9.05729866881361e+01°)
1.04954242865232e+05	(-9.63687170184549e+00dB,-9.05743076446891e+01°)
1.05196187382322e+05	(-9.61687105787795e+00dB,-9.05756316469563e+01°)
1.05438689639126e+05	(-9.59687041093872e+00dB,-9.05769587019629e+01°)
1.05681750921366e+05	(-9.57686976101406e+00dB,-9.05782888167504e+01°)
1.05925372517729e+05	(-9.55686910809021e+00dB,-9.05796219983765e+01°)
1.06169555719872e+05	(-9.53686845215334e+00dB,-9.05809582539152e+01°)
1.06414301822431e+05	(-9.51686779318954e+00dB,-9.05822975904569e+01°)
1.06659612123026e+05	(-9.49686713118485e+00dB,-9.05836400151082e+01°)
1.06905487922266e+05	(-9.47686646612523e+00dB,-9.05849855349922e+01°)
1.07151930523760e+05	(-9.45686579799660e+00dB,-9.05863341572486e+01°)
1.07398941234124e+05	(-9.43686512678479e+00dB,-9.05876858890335e+01°)
1.07646521362983e+05	(-9.41686445247558e+00dB,-9.05890407375193e+01°)
1.07894672222983e+05	(-9.39686377505469e+00dB,-9.05903987098953e+01°)
1.08143395129794e+05	(-9.37686309450775e+00dB,-9.05917598133672e+01°)
1.08392691402120e+05	(-9.35686241082035e+00dB,-9.05931240551574e+01°)
1.08642562361706e+05	(-9.33686172397799e+00dB,-9.05944914425051e+01°)
1.08893009333343e+05	(-9.31686103396611e+00dB,-9.05958619826659e+01°)
1.09144033644875e+05	(-9.29686034077012e+00dB,-9.05972356829125e+01°)
1.09395636627209e+05	(-9.27685964437529e+00dB,-9.05986125505342e+01°)
1.09647819614318e+05	(-9.25685894476688e+00dB,-9.05999925928373e+01°)
1.09900583943252e+05	(-9.23685824193008e+00dB,-9.06013758171447e+01°)
1.10153930954141e+05	(-9.21685753584997e+00dB,-9.06027622307964e+01°)
1.10407861990207e+05	(-9.19685682651160e+00dB,-9.06041518411495e+01°)
1.10662378397766e+05	(-9.17685611389994e+00dB,-9.06055446555778e+01°)
1.10917481526240e+05	(-9.15685539799988e+00dB,-9.06069406814722e+01°)
1.11173172728159e+05	(-9.13685467879626e+00dB,-9.06083399262408e+01°)
1.11429453359173e+05	(-9.11685395627383e+00dB,-9.06097423973088e+01°)
1.11686324778056e+05	(-9.09685323041730e+00dB,-9.06111481021184e+01°)
1.11943788346715e+05	(-9.07685250121126e+00dB,-9.06125570481291e+01°)
1.12201845430196e+05	(-9.05685176864027e+00dB,-9.06139692428176e+01°)
1.12460497396692e+05	(-9.03685103268882e+00dB,-9.06153846936779e+01°)
1.12719745617551e+05	(-9.01685029334129e+00dB,-9.06168034082212e+01°)
1.12979591467279e+05	(-8.99684955058203e+00dB,-9.06182253939763e+01°)
1.13240036323555e+05	(-8.97684880439530e+00dB,-9.06196506584891e+01°)
1.13501081567231e+05	(-8.95684805476528e+00dB,-9.06210792093232e+01°)
1.13762728582343e+05	(-8.93684730167610e+00dB,-9.06225110540594e+01°)
1.14024978756117e+05	(-8.91684654511179e+00dB,-9.06239462002962e+01°)
1.14287833478977e+05	(-8.89684578505632e+00dB,-9.06253846556495e+01°)
1.14551294144553e+05	(-8.87684502149358e+00dB,-9.06268264277530e+01°)
1.14815362149688e+05	(-8.85684425440739e+00dB,-9.06282715242580e+01°)
1.15080038894443e+05	(-8.83684348378151e+00dB,-9.06297199528332e+01°)
1.15345325782109e+05	(-8.81684270959960e+00dB,-9.06311717211653e+01°)
1.15611224219210e+05	(-8.79684193184527e+00dB,-9.06326268369587e+01°)
1.15877735615512e+05	(-8.77684115050202e+00dB,-9.06340853079355e+01°)
1.16144861384034e+05	(-8.75684036555330e+00dB,-9.06355471418358e+01°)
1.16412602941049e+05	(-8.73683957698248e+00dB,-9.06370123464174e+01°)
1.16680961706096e+05	(-8.71683878477285e+00dB,-9.06384809294562e+01°)
1.16949939101987e+05	(-8.69683798890763e+00dB,-9.06399528987459e+01°)
1.17219536554813e+05	(-8.67683718936995e+00dB,-9.06414282620983e+01°)
1.17489755493953e+05	(-8.65683638614287e+00dB,-9.06429070273432e+01°)
1.17760597352080e+05	(-8.63683557920936e+00dB,-9.06443892023286e+01°)
1.18032063565173e+05	(-8.61683476855235e+00dB,-9.06458747949205e+01°)
1.18304155572516e+05	(-8.59683395415463e+00dB,-9.06473638130031e+01°)
1.18576874816716e+05	(-8.57683313599897e+00dB,-9.06488562644789e+01°)
1.18850222743701e+05	(-8.55683231406802e+00dB,-9.06503521572685e+01°)
1.19124200802737e+05	(-8.53683148834437e+00dB,-9.06518514993109e+01°)
1.19398810446427e+05	(-8.51683065881053e+00dB,-9.06533542985636e+01°)
1.19674053130724e+05	(-8.49682982544892e+00dB,-9.06548605630021e+01°)
1.19949930314937e+05	(-8.47682898824187e+00dB,-9.06563703006207e+01°)
1.20226443461741e+05	(-8.45682814717165e+00dB,-9.06578835194320e+01°)
1.20503594037179e+05	(-8.43682730222045e+00dB,-9.06594002274671e+01°)
1.20781383510678e+05	(-8.41682645337036e+00dB,-9.06609204327756e+01°)
1.21059813355048e+05	(-8.39682560060339e+00dB,-9.06624441434260e+01°)
1.21338885046497e+05	(-8.37682474390148e+00dB,-9.06639713675050e+01°)
1.21618600064636e+05	(-8.35682388324647e+00dB,-9.06655021131184e+01°)
1.21898959892486e+05	(-8.33682301862013e+00dB,-9.06670363883905e+01°)
1.22179966016487e+05	(-8.31682215000414e+00dB,-9.06685742014644e+01°)
1.22461619926504e+05	(-8.29682127738010e+00dB,-9.06701155605020e+01°)
1.22743923115840e+05	(-8.27682040072952e+00dB,-9.06716604736842e+01°)
1.23026877081238e+05	(-8.25681952003382e+00dB,-9.06732089492105e+01°)
1.23310483322890e+05	(-8.23681863527434e+00dB,-9.06747609952998e+01°)
1.23594743344450e+05	(-8.21681774643235e+00dB,-9.06763166201895e+01°)
1.23879658653036e+05	(-8.19681685348901e+00dB,-9.06778758321365e+01°)
1.24165230759240e+05	(-8.17681595642540e+00dB,-9.06794386394164e+01°)
1.24451461177138e+05	(-8.15681505522251e+00dB,-9.06810050503241e+01°)
1.24738351424294e+05	(-8.13681414986126e+00dB,-9.06825750731737e+01°)
1.25025903021771e+05	(-8.11681324032245e+00dB,-9.06841487162984e+01°)
1.25314117494141e+05	(-8.09681232658683e+00dB,-9.06857259880508e+01°)
1.25602996369487e+05	(-8.07681140863503e+00dB,-9.06873068968027e+01°)
1.25892541179416e+05	(-8.05681048644760e+00dB,-9.06888914509452e+01°)
1.26182753459066e+05	(-8.03680956000501e+00dB,-9.06904796588888e+01°)
1.26473634747114e+05	(-8.01680862928764e+00dB,-9.06920715290637e+01°)
