time	V(out_fs)
0.000000000000000e+00	0.000000e+00
8.052684228076026e-10	5.839728e-11
8.345067403420189e-10	-1.462869e-07
8.637450578764352e-10	-1.265915e-07
8.929833754108515e-10	5.914469e-08
9.222216929452677e-10	4.109216e-07
9.514600104796839e-10	9.287393e-07
9.806983280141002e-10	1.612598e-06
1.009936645548516e-09	2.462497e-06
1.029714666793689e-09	3.302475e-06
1.049492688038862e-09	4.422858e-06
1.069270709284035e-09	5.823648e-06
1.089048730529208e-09	7.504843e-06
1.108826751774381e-09	9.466443e-06
1.128604773019554e-09	1.170845e-05
1.148382794264726e-09	1.423086e-05
1.177821178492717e-09	1.862872e-05
1.207259562720707e-09	2.432232e-05
1.236697946948697e-09	3.131167e-05
1.266136331176687e-09	3.959678e-05
1.295574715404677e-09	4.917763e-05
1.325013099632667e-09	6.005424e-05
1.354451483860657e-09	7.222659e-05
1.383032442104517e-09	8.562811e-05
1.411613400348378e-09	1.009461e-04
1.440194358592238e-09	1.181806e-04
1.468775316836098e-09	1.373316e-04
1.497356275079958e-09	1.583990e-04
1.525937233323818e-09	1.813829e-04
1.554518191567678e-09	2.062834e-04
1.578582991660444e-09	2.290886e-04
1.602647791753209e-09	2.538494e-04
1.626712591845974e-09	2.805658e-04
1.650777391938739e-09	3.092377e-04
1.674842192031504e-09	3.398651e-04
1.698906992124269e-09	3.724480e-04
1.722971792217035e-09	4.069865e-04
1.756181321134408e-09	4.577741e-04
1.789390850051782e-09	5.138579e-04
1.822600378969156e-09	5.752379e-04
1.855809907886529e-09	6.419143e-04
1.889019436803903e-09	7.138869e-04
1.922228965721277e-09	7.911557e-04
1.955438494638650e-09	8.737209e-04
2.020776462274466e-09	1.053259e-03
2.086114429910283e-09	1.262571e-03
2.151452397546099e-09	1.501659e-03
2.216790365181915e-09	1.770520e-03
2.282128332817731e-09	2.069156e-03
2.347466300453548e-09	2.397567e-03
2.412804268089364e-09	2.755752e-03
2.450016672224120e-09	2.975097e-03
2.487229076358877e-09	3.205392e-03
2.524441480493634e-09	3.446635e-03
2.561653884628390e-09	3.698828e-03
2.598866288763147e-09	3.961971e-03
2.636078692897904e-09	4.236062e-03
2.673291097032660e-09	4.521103e-03
2.734111402525674e-09	5.011008e-03
2.794931708018687e-09	5.533664e-03
2.855752013511701e-09	6.089071e-03
2.916572319004714e-09	6.677229e-03
2.977392624497728e-09	7.298137e-03
3.038212929990741e-09	7.951796e-03
3.099033235483755e-09	8.638206e-03
3.131642701244788e-09	9.020166e-03
3.164252167005822e-09	9.411563e-03
3.196861632766855e-09	9.812397e-03
3.229471098527889e-09	1.022267e-02
3.262080564288922e-09	1.064237e-02
3.294690030049955e-09	1.107152e-02
3.327299495810989e-09	1.151009e-02
3.381433198095695e-09	1.225871e-02
3.435566900380402e-09	1.303307e-02
3.489700602665108e-09	1.383318e-02
3.543834304949815e-09	1.465903e-02
3.597968007234522e-09	1.551064e-02
3.652101709519228e-09	1.638798e-02
3.706235411803935e-09	1.729107e-02
3.757252417473127e-09	1.816542e-02
3.808269423142320e-09	1.906050e-02
3.859286428811513e-09	1.997633e-02
3.910303434480705e-09	2.091289e-02
3.961320440149897e-09	2.187020e-02
4.012337445819090e-09	2.284826e-02
4.063354451488283e-09	2.384705e-02
4.126404095745712e-09	2.510745e-02
4.189453740003141e-09	2.639622e-02
4.252503384260571e-09	2.771337e-02
