time	V(out_preamp)
0.000000000000000e+00	0.000000e+00
8.052684228076026e-10	-3.373453e-08
8.345067403420189e-10	-6.960923e-07
8.637450578764352e-10	-2.181501e-06
8.929833754108515e-10	-4.489962e-06
9.222216929452677e-10	-7.621474e-06
9.514600104796839e-10	-1.157604e-05
9.806983280141002e-10	-1.635365e-05
1.009936645548516e-09	-2.195432e-05
1.029714666793689e-09	-2.613734e-05
1.049492688038862e-09	-3.094392e-05
1.069270709284035e-09	-3.637404e-05
1.089048730529208e-09	-4.242770e-05
1.108826751774381e-09	-4.910492e-05
1.128604773019554e-09	-5.640568e-05
1.148382794264726e-09	-6.432999e-05
1.177821178492717e-09	-7.743465e-05
1.207259562720707e-09	-9.154250e-05
1.236697946948697e-09	-1.066536e-04
1.266136331176687e-09	-1.227678e-04
1.295574715404677e-09	-1.398852e-04
1.325013099632667e-09	-1.580059e-04
1.354451483860657e-09	-1.771297e-04
1.383032442104517e-09	-1.969679e-04
1.411613400348378e-09	-2.181437e-04
1.440194358592238e-09	-2.406572e-04
1.468775316836098e-09	-2.645083e-04
1.497356275079958e-09	-2.896971e-04
1.525937233323818e-09	-3.162235e-04
1.554518191567678e-09	-3.440877e-04
1.662552828000801e-09	-4.645488e-04
1.704393637520494e-09	-5.179716e-04
1.746234447040187e-09	-5.759309e-04
1.788075256559880e-09	-6.384269e-04
1.829916066079572e-09	-7.054594e-04
1.871756875599265e-09	-7.770286e-04
1.913597685118958e-09	-8.531344e-04
1.955438494638650e-09	-9.337768e-04
1.998340412162524e-09	-1.021820e-03
2.041242329686398e-09	-1.112528e-03
2.084144247210272e-09	-1.205901e-03
2.127046164734146e-09	-1.301940e-03
2.169948082258020e-09	-1.400644e-03
2.212849999781894e-09	-1.502014e-03
2.255751917305768e-09	-1.606049e-03
2.280474443862239e-09	-1.666196e-03
2.305196970418711e-09	-1.726689e-03
2.329919496975182e-09	-1.787528e-03
2.354642023531654e-09	-1.848712e-03
2.379364550088125e-09	-1.910242e-03
2.404087076644597e-09	-1.972117e-03
2.428809603201068e-09	-2.034337e-03
2.498832944314773e-09	-2.214305e-03
2.500833611203735e-09	-2.219519e-03
2.512837612537506e-09	-2.251018e-03
2.525984852093557e-09	-2.285554e-03
2.539132091649609e-09	-2.320336e-03
2.552279331205660e-09	-2.355366e-03
2.565426570761711e-09	-2.390643e-03
2.578573810317763e-09	-2.426168e-03
2.591721049873815e-09	-2.461940e-03
2.604868289429866e-09	-2.497959e-03
2.633449244991112e-09	-2.577739e-03
2.662030200552358e-09	-2.658500e-03
2.690611156113603e-09	-2.740244e-03
2.719192111674849e-09	-2.822969e-03
2.747773067236094e-09	-2.906677e-03
2.776354022797340e-09	-2.991366e-03
2.804934978358586e-09	-3.077037e-03
2.832658503907671e-09	-3.160643e-03
2.860382029456756e-09	-3.244546e-03
2.888105555005841e-09	-3.328745e-03
2.915829080554926e-09	-3.413241e-03
2.943552606104012e-09	-3.498033e-03
2.971276131653096e-09	-3.583123e-03
2.998999657202182e-09	-3.668508e-03
3.001000333444482e-09	-3.674661e-03
3.013004390898281e-09	-3.711588e-03
3.099033235483755e-09	-3.976155e-03
3.101033677892631e-09	-3.982301e-03
3.113036332345885e-09	-4.019144e-03
3.125325566000719e-09	-4.056790e-03
3.137614799655553e-09	-4.094451e-03
3.149904033310388e-09	-4.132126e-03
3.162193266965222e-09	-4.169817e-03
3.174482500620056e-09	-4.207523e-03
3.186771734274890e-09	-4.245243e-03
3.199060967929724e-09	-4.282979e-03
3.201067022340780e-09	-4.289146e-03
3.205079131162893e-09	-4.301505e-03
3.213103348807119e-09	-4.326256e-03
3.297584035556391e-09	-4.592798e-03
3.382064722305662e-09	-4.858421e-03
3.466545409054933e-09	-5.123124e-03
3.551026095804204e-09	-5.386909e-03
3.635506782553475e-09	-5.649775e-03
3.719987469302747e-09	-5.911721e-03
3.804468156052017e-09	-6.172749e-03
3.825160767875010e-09	-6.235267e-03
3.845853379698004e-09	-6.297487e-03
3.866545991520997e-09	-6.359410e-03
3.887238603343990e-09	-6.421037e-03
3.907931215166982e-09	-6.482366e-03
3.928623826989976e-09	-6.543399e-03
3.949316438812969e-09	-6.604134e-03
3.978183203925145e-09	-6.687736e-03
4.007049969037321e-09	-6.771120e-03
4.035916734149497e-09	-6.854286e-03
4.064783499261673e-09	-6.937234e-03
4.093650264373848e-09	-7.019964e-03
4.122517029486025e-09	-7.102476e-03
4.151383794598201e-09	-7.184770e-03
4.163387795825072e-09	-7.219246e-03
4.175677606668598e-09	-7.254561e-03
4.187967417512125e-09	-7.289876e-03
4.200257228355652e-09	-7.325192e-03
4.212547039199178e-09	-7.360508e-03
4.224836850042705e-09	-7.395824e-03
4.237126660886232e-09	-7.431140e-03
4.249416471729759e-09	-7.466456e-03
4.251417139046349e-09	-7.472204e-03
4.255418473679529e-09	-7.483695e-03
4.279426481478611e-09	-7.552593e-03
4.349449826868588e-09	-7.753013e-03
4.351450483494498e-09	-7.758725e-03
4.355451796746319e-09	-7.770138e-03
4.379517358358516e-09	-7.838630e-03
4.403582919970711e-09	-7.906971e-03
4.427648481582908e-09	-7.975161e-03
4.451714043195103e-09	-8.043200e-03
4.475779604807300e-09	-8.111088e-03
4.499845166419495e-09	-8.178825e-03
4.523910728031692e-09	-8.246412e-03
4.555506683131931e-09	-8.335846e-03
4.569227230804362e-09	-8.374907e-03
4.582947778476792e-09	-8.414041e-03
4.596668326149223e-09	-8.453247e-03
4.610388873821654e-09	-8.492526e-03
4.624109421494085e-09	-8.531878e-03
4.637829969166515e-09	-8.571302e-03
4.651550516838945e-09	-8.610799e-03
4.664405776821670e-09	-8.647852e-03
4.684631874740280e-09	-8.706249e-03
4.704857972658890e-09	-8.764671e-03
4.725084070577500e-09	-8.823120e-03
4.745310168496110e-09	-8.881593e-03
4.765536266414721e-09	-8.940093e-03
4.785762364333330e-09	-8.998618e-03
4.805988462251941e-09	-9.057168e-03
4.848890345304935e-09	-9.181399e-03
4.891792228357929e-09	-9.305048e-03
4.934694111410924e-09	-9.428115e-03
4.977595994463918e-09	-9.550601e-03
5.020497877516912e-09	-9.672505e-03
5.063399760569906e-09	-9.793828e-03
5.106301643622900e-09	-9.914569e-03
5.397014353029076e-09	-1.070440e-02
5.401800600200066e-09	-1.071699e-02
5.416274336217054e-09	-1.075486e-02
5.435113702457842e-09	-1.080380e-02
5.453953068698631e-09	-1.085276e-02
5.472792434939420e-09	-1.090176e-02
5.491631801180208e-09	-1.095077e-02
5.510471167420997e-09	-1.099982e-02
5.529310533661785e-09	-1.104889e-02
5.548149899902574e-09	-1.109799e-02
5.569744414130907e-09	-1.115461e-02
5.591338928359240e-09	-1.121130e-02
5.612933442587572e-09	-1.126806e-02
5.634527956815905e-09	-1.132489e-02
5.656122471044238e-09	-1.138179e-02
5.677716985272571e-09	-1.143876e-02
5.699311499500904e-09	-1.149580e-02
5.701900633544515e-09	-1.150263e-02
5.716905635211738e-09	-1.154223e-02
5.746544086123947e-09	-1.162048e-02
5.776182537036157e-09	-1.169859e-02
5.805820987948366e-09	-1.177659e-02
5.835459438860575e-09	-1.185445e-02
5.865097889772785e-09	-1.193220e-02
5.894736340684995e-09	-1.200981e-02
5.924374791597204e-09	-1.208730e-02
5.949983327775937e-09	-1.215462e-02
5.951983994664889e-09	-1.215989e-02
5.963987995998606e-09	-1.219165e-02
6.056018672891456e-09	-1.243810e-02
6.083742199761048e-09	-1.251337e-02
6.111465726630639e-09	-1.258883e-02
6.139189253500232e-09	-1.266447e-02
6.166912780369823e-09	-1.274030e-02
6.194636307239415e-09	-1.281631e-02
6.222359834109008e-09	-1.289251e-02
6.250083360978599e-09	-1.296889e-02
6.256085362070811e-09	-1.298541e-02
6.291239937364940e-09	-1.308228e-02
6.326394512659068e-09	-1.317897e-02
6.361549087953197e-09	-1.327550e-02
6.396703663247325e-09	-1.337187e-02
6.431858238541454e-09	-1.346806e-02
6.467012813835582e-09	-1.356409e-02
6.502167389129711e-09	-1.365995e-02
6.511770982174204e-09	-1.368618e-02
6.535930165348952e-09	-1.375248e-02
6.560089348523700e-09	-1.381917e-02
6.584248531698449e-09	-1.388625e-02
6.608407714873198e-09	-1.395372e-02
6.632566898047946e-09	-1.402158e-02
6.656726081222694e-09	-1.408982e-02
6.680885264397443e-09	-1.415846e-02
6.753994293799352e-09	-1.437068e-02
6.788447504029899e-09	-1.447338e-02
6.822900714260446e-09	-1.457692e-02
6.857353924490992e-09	-1.468131e-02
6.891807134721539e-09	-1.478655e-02
6.926260344952085e-09	-1.489263e-02
6.960713555182632e-09	-1.499956e-02
6.995166765413179e-09	-1.510734e-02
7.018295001371255e-09	-1.517977e-02
7.041423237329333e-09	-1.525227e-02
7.064551473287409e-09	-1.532484e-02
7.087679709245485e-09	-1.539750e-02
7.110807945203562e-09	-1.547022e-02
7.133936181161639e-09	-1.554303e-02
7.157064417119715e-09	-1.561590e-02
7.173681667182034e-09	-1.566823e-02
7.190298917244353e-09	-1.572051e-02
7.206916167306672e-09	-1.577276e-02
7.223533417368990e-09	-1.582498e-02
7.240150667431309e-09	-1.587715e-02
7.256767917493628e-09	-1.592928e-02
7.273385167555947e-09	-1.598138e-02
7.291825499214105e-09	-1.603913e-02
7.310265830872263e-09	-1.609677e-02
7.328706162530422e-09	-1.615430e-02
7.347146494188580e-09	-1.621173e-02
7.365586825846738e-09	-1.626905e-02
7.384027157504896e-09	-1.632626e-02
7.402467489163055e-09	-1.638337e-02
7.411669311911631e-09	-1.641180e-02
7.460943057139896e-09	-1.656368e-02
7.510216802368162e-09	-1.671424e-02
7.559490547596428e-09	-1.686349e-02
7.608764292824694e-09	-1.701142e-02
7.658038038052960e-09	-1.715803e-02
7.707311783281227e-09	-1.730332e-02
7.756585528509493e-09	-1.744730e-02
7.770018577621087e-09	-1.748616e-02
7.783451626732682e-09	-1.752504e-02
7.796884675844276e-09	-1.756393e-02
7.810317724955872e-09	-1.760283e-02
7.823750774067467e-09	-1.764174e-02
7.837183823179062e-09	-1.768067e-02
7.850616872290656e-09	-1.771961e-02
7.852617539179727e-09	-1.772542e-02
7.864621540514153e-09	-1.776044e-02
7.902634211403802e-09	-1.787199e-02
7.912237412471344e-09	-1.790042e-02
7.932301243272013e-09	-1.796025e-02
7.952365074072682e-09	-1.802051e-02
7.972428904873351e-09	-1.808121e-02
