time	V(input_bode)	V(out)	V(out_fs)	V(out_preamp)
0.000000000000000e+00	0.000000e+00	9.999999e-08	0.000000e+00	0.000000e+00
8.052684228076026e-10	8.859104e-06	9.999999e-08	5.839728e-11	-3.373453e-08
8.345067403420189e-10	6.244714e-05	9.999999e-08	-1.462869e-07	-6.960923e-07
8.637450578764352e-10	1.148387e-04	9.999999e-08	-1.265915e-07	-2.181501e-06
8.929833754108515e-10	1.660338e-04	9.999999e-08	5.914469e-08	-4.489962e-06
9.222216929452677e-10	2.160325e-04	9.999999e-08	4.109216e-07	-7.621474e-06
9.514600104796839e-10	2.648346e-04	9.999999e-08	9.287393e-07	-1.157604e-05
9.806983280141002e-10	3.124404e-04	9.999999e-08	1.612598e-06	-1.635365e-05
1.009936645548516e-09	3.588496e-04	9.999999e-08	2.462497e-06	-2.195432e-05
1.029714666793689e-09	4.062146e-04	9.999999e-08	3.302475e-06	-2.613734e-05
1.049492688038862e-09	4.557978e-04	9.999999e-08	4.422858e-06	-3.094392e-05
1.069270709284035e-09	5.075993e-04	9.999999e-08	5.823648e-06	-3.637404e-05
1.089048730529208e-09	5.616191e-04	9.999999e-08	7.504843e-06	-4.242770e-05
1.108826751774381e-09	6.178571e-04	9.999999e-08	9.466443e-06	-4.910492e-05
1.128604773019554e-09	6.763134e-04	9.999999e-08	1.170845e-05	-5.640568e-05
1.148382794264726e-09	7.369879e-04	9.999999e-08	1.423086e-05	-6.432999e-05
1.177821178492717e-09	8.102744e-04	9.999999e-08	1.862872e-05	-7.743465e-05
1.207259562720707e-09	8.799983e-04	9.999999e-08	2.432232e-05	-9.154250e-05
1.236697946948697e-09	9.461595e-04	9.999999e-08	3.131167e-05	-1.066536e-04
1.266136331176687e-09	1.008758e-03	9.999999e-08	3.959678e-05	-1.227678e-04
1.295574715404677e-09	1.067794e-03	9.999999e-08	4.917763e-05	-1.398852e-04
1.325013099632667e-09	1.123267e-03	9.999999e-08	6.005424e-05	-1.580059e-04
1.354451483860657e-09	1.175178e-03	9.999999e-08	7.222659e-05	-1.771297e-04
1.383032442104517e-09	1.270472e-03	9.999999e-08	8.562811e-05	-1.969679e-04
1.411613400348378e-09	1.362430e-03	9.999999e-08	1.009461e-04	-2.181437e-04
1.440194358592238e-09	1.451050e-03	9.999999e-08	1.181806e-04	-2.406572e-04
1.468775316836098e-09	1.536332e-03	9.999999e-08	1.373316e-04	-2.645083e-04
1.497356275079958e-09	1.618277e-03	9.999999e-08	1.583990e-04	-2.896971e-04
1.525937233323818e-09	1.696884e-03	9.999999e-08	1.813829e-04	-3.162235e-04
1.554518191567678e-09	1.772154e-03	9.999999e-08	2.062834e-04	-3.440877e-04
1.578582991660444e-09	1.865670e-03	9.999999e-08	2.290886e-04	-3.686520e-04
1.602647791753209e-09	1.961295e-03	9.999999e-08	2.538494e-04	-3.945226e-04
1.626712591845974e-09	2.059027e-03	9.999999e-08	2.805658e-04	-4.216997e-04
1.650777391938739e-09	2.158867e-03	9.999999e-08	3.092377e-04	-4.501831e-04
1.674842192031504e-09	2.260815e-03	9.999999e-08	3.398651e-04	-4.799728e-04
1.698906992124269e-09	2.364870e-03	9.999999e-08	3.724480e-04	-5.110689e-04
1.722971792217035e-09	2.471034e-03	9.999999e-08	4.069865e-04	-5.434714e-04
1.756181321134408e-09	2.622850e-03	9.999999e-08	4.577741e-04	-5.905098e-04
1.789390850051782e-09	2.776033e-03	9.999999e-08	5.138579e-04	-6.404546e-04
1.822600378969156e-09	2.930585e-03	9.999999e-08	5.752379e-04	-6.933060e-04
1.855809907886529e-09	3.086505e-03	9.999999e-08	6.419143e-04	-7.490639e-04
1.889019436803903e-09	3.243792e-03	9.999999e-08	7.138869e-04	-8.077284e-04
1.922228965721277e-09	3.402448e-03	9.999999e-08	7.911557e-04	-8.692994e-04
1.955438494638650e-09	3.562472e-03	9.999999e-08	8.737209e-04	-9.337768e-04
2.020776462274466e-09	3.800653e-03	9.999999e-08	1.053259e-03	-1.070968e-03
2.086114429910283e-09	4.008848e-03	9.999999e-08	1.262571e-03	-1.212911e-03
2.151452397546099e-09	4.187056e-03	9.999999e-08	1.501659e-03	-1.359606e-03
2.216790365181915e-09	4.335278e-03	9.999999e-08	1.770520e-03	-1.511053e-03
2.282128332817731e-09	4.453513e-03	9.999999e-08	2.069156e-03	-1.667251e-03
2.347466300453548e-09	4.541762e-03	9.999999e-08	2.397567e-03	-1.828202e-03
2.412804268089364e-09	4.600024e-03	9.999999e-08	2.755752e-03	-1.993904e-03
2.450016672224120e-09	4.676864e-03	9.999999e-08	2.975097e-03	-2.087800e-03
2.487229076358877e-09	4.760431e-03	9.999999e-08	3.205392e-03	-2.183565e-03
2.524441480493634e-09	4.850724e-03	9.999999e-08	3.446635e-03	-2.281199e-03
2.561653884628390e-09	4.947743e-03	9.999999e-08	3.698828e-03	-2.380703e-03
2.598866288763147e-09	5.051489e-03	9.999999e-08	3.961971e-03	-2.482075e-03
2.636078692897904e-09	5.161960e-03	9.999999e-08	4.236062e-03	-2.585316e-03
2.673291097032660e-09	5.279158e-03	9.999999e-08	4.521103e-03	-2.690426e-03
2.734111402525674e-09	5.418421e-03	9.999999e-08	5.011008e-03	-2.868892e-03
2.794931708018687e-09	5.534893e-03	9.999999e-08	5.533664e-03	-3.049094e-03
2.855752013511701e-09	5.628575e-03	9.999999e-08	6.089071e-03	-3.231033e-03
2.916572319004714e-09	5.699466e-03	9.999999e-08	6.677229e-03	-3.414709e-03
2.977392624497728e-09	5.747568e-03	9.999999e-08	7.298137e-03	-3.600121e-03
3.038212929990741e-09	5.772879e-03	9.999999e-08	7.951796e-03	-3.787269e-03
3.099033235483755e-09	5.775400e-03	9.999999e-08	8.638206e-03	-3.976155e-03
