time	V(input_bode)	V(out)	V(out_fs)	V(out_preamp)
0.000000000000000e+00	0.000000e+00	4.000000e-08	0.000000e+00	0.000000e+00
8.002667555851951e-10	0.000000e+00	4.000000e-08	0.000000e+00	0.000000e+00
8.052684228076026e-10	5.426235e-07	4.000000e-08	1.256287e-11	-8.961576e-09
8.152717572524175e-10	2.575013e-06	4.000000e-08	2.806239e-10	-7.272795e-08
8.352784261420474e-10	1.103977e-05	4.000000e-08	2.358012e-09	-3.897549e-07
8.502834278092698e-10	2.008712e-05	4.000000e-08	5.590004e-09	-7.872759e-07
8.622874291430478e-10	2.844614e-05	4.000000e-08	1.485478e-08	-1.435479e-06
8.782927642547517e-10	4.055468e-05	4.000000e-08	4.105219e-08	-2.644829e-06
9.003001000333445e-10	5.843892e-05	4.000000e-08	9.612634e-08	-4.705256e-06
9.227075691897300e-10	7.696966e-05	4.000000e-08	2.366109e-07	-7.906435e-06
9.503167722574193e-10	9.939997e-05	4.000000e-08	5.046020e-07	-1.266859e-05
9.623207735911976e-10	1.088986e-04	4.000000e-08	6.972853e-07	-1.523916e-05
9.783261087029019e-10	1.211800e-04	4.000000e-08	1.027394e-06	-1.900976e-05
1.000333444481494e-09	1.375776e-04	4.000000e-08	1.568462e-06	-2.457160e-05
1.009936645548516e-09	1.450563e-04	4.000000e-08	1.888449e-06	-2.732056e-05
1.022740913637880e-09	1.559341e-04	4.000000e-08	2.394822e-06	-3.127407e-05
1.050350116705569e-09	1.817649e-04	4.000000e-08	3.654624e-06	-4.040218e-05
1.054351450483492e-09	1.859103e-04	4.000000e-08	3.884033e-06	-4.189148e-05
1.062354118039340e-09	1.945933e-04	4.000000e-08	4.371902e-06	-4.497730e-05
1.078359453151034e-09	2.138673e-04	4.000000e-08	5.471979e-06	-5.161182e-05
1.100366788929643e-09	2.431499e-04	4.000000e-08	7.151931e-06	-6.135905e-05
1.122774258086015e-09	2.739766e-04	4.000000e-08	9.368398e-06	-7.306033e-05
1.150383461153718e-09	3.115447e-04	4.000000e-08	1.253038e-05	-8.881304e-05
